powertrain,vehicle_type,quantile,miles
All,Car,98,61.56627407418687
All,Car,99,68.08612295899971
All,Minivan,1,4.893322663589521
All,Minivan,2,7.584855481614488
All,Minivan,3,9.583436125684873
All,Minivan,4,11.153951874300414
All,Minivan,5,12.294073890939291
All,Minivan,6,13.332550038786959
All,Minivan,7,14.231222145823326
All,Minivan,8,15.069819205327676
All,Minivan,9,15.818887932218543
All,Minivan,10,16.48063373740781
All,Minivan,11,17.13678295612604
All,Minivan,12,17.76885753062486
All,Minivan,13,18.349157844095437
All,Minivan,14,18.8746353460879
All,Minivan,15,19.37292478628292
All,Minivan,16,19.863637135227172
All,Minivan,17,20.307269395155124
All,Minivan,18,20.74409855769612
All,Minivan,19,21.168753599586637
All,Minivan,20,21.604487507741158
All,Minivan,21,22.048355731576397
All,Minivan,22,22.445977715216493
All,Minivan,23,22.843503613628712
All,Minivan,24,23.24218577822293
All,Minivan,25,23.63706872506275
All,Minivan,26,24.027969310926668
All,Minivan,27,24.414281143296858
All,Minivan,28,24.77859581246741
All,Minivan,29,25.14291048163796
All,Minivan,30,25.481470614935656
All,Minivan,31,25.8082554910344
All,Minivan,32,26.139752895166442
All,Minivan,33,26.49803954834458
All,Minivan,34,26.856326201522712
All,Minivan,35,27.220752719137465
All,Minivan,36,27.58965636649546
All,Minivan,37,27.95856001385346
All,Minivan,38,28.29026301163059
All,Minivan,39,28.617977448460177
All,Minivan,40,28.95267304152852
All,Minivan,41,29.302360424911885
All,Minivan,42,29.652047808295247
All,Minivan,43,29.99336215287985
All,Minivan,44,30.333199306175988
All,Minivan,45,30.67338228650249
All,Minivan,46,31.014119559018738
All,Minivan,47,31.354856831534985
All,Minivan,48,31.702395715803377
All,Minivan,49,32.0502530015604
All,Minivan,50,32.399330731420015
All,Minivan,51,32.749917265859146
All,Minivan,52,33.10050380029828
All,Minivan,53,33.465888830177214
All,Minivan,54,33.83302260064866
All,Minivan,55,34.20476568834399
All,Minivan,56,34.58374000730239
All,Minivan,57,34.96271432626077
All,Minivan,58,35.36887406796418
All,Minivan,59,35.77629207987196
All,Minivan,60,36.18259772296343
All,Minivan,61,36.58754437715063
All,Minivan,62,36.99249103133782
All,Minivan,63,37.39367965185458
All,Minivan,64,37.79328216787271
All,Minivan,65,38.19288468389083
All,Minivan,66,38.64053012830991
All,Minivan,67,39.094255476981324
All,Minivan,68,39.55153006576391
All,Minivan,69,40.01659118677514
All,Minivan,70,40.48165230778636
All,Minivan,71,40.947777534236344
All,Minivan,72,41.41402642037295
All,Minivan,73,41.92408778406474
All,Minivan,74,42.43884715177397
All,Minivan,75,42.92250379942266
All,Minivan,76,43.400586404756
All,Minivan,77,43.94775561746023
All,Minivan,78,44.54381974138952
All,Minivan,79,45.180581737032746
All,Minivan,80,45.84536265257904
All,Minivan,81,46.46967512777669
All,Minivan,82,47.073303206725605
All,Minivan,83,47.72082313374701
All,Minivan,84,48.40185331010766
All,Minivan,85,49.08482636796535
All,Minivan,86,49.77121515645627
All,Minivan,87,50.57738343073618
All,Minivan,88,51.48645456075869
All,Minivan,89,52.46369183905282
All,Minivan,90,53.46029375926529
All,Minivan,91,54.34736607534785
All,Minivan,92,55.47775451546233
All,Minivan,93,56.736972002506434
All,Minivan,94,58.10428653226387
All,Minivan,95,59.80093485957862
All,Minivan,96,61.7305834729736
All,Minivan,97,64.08280395984909
All,Minivan,98,67.769797678368775
All,Minivan,99,74.4738245141066
All,Pickup,1,2.6448064487723135
All,Pickup,2,4.786741338306961
All,Pickup,3,6.427768875774318
All,Pickup,4,7.61342486312269
All,Pickup,5,8.678109235046573
All,Pickup,6,9.682061416065695
All,Pickup,7,10.534336989881458
All,Pickup,8,11.299181760921591
All,Pickup,9,12.017161411100352
All,Pickup,10,12.67905557312273
All,Pickup,11,13.305182249722485
All,Pickup,12,13.910504708832516
All,Pickup,13,14.465661891044386
All,Pickup,14,14.999986106332134
All,Pickup,15,15.513394160893505
All,Pickup,16,16.01275416900276
All,Pickup,17,16.508110713966147
All,Pickup,18,16.95619687806101
All,Pickup,19,17.39373629097008
All,Pickup,20,17.806050880610623
All,Pickup,21,18.196520795419634
All,Pickup,22,18.587770480678238
All,Pickup,23,18.982432436694086
All,Pickup,24,19.37709439270993
All,Pickup,25,19.779315372757228
All,Pickup,26,20.18268292584715
All,Pickup,27,20.579235431788348
All,Pickup,28,20.970624013426693
All,Pickup,29,21.35760276212579
All,Pickup,30,21.708697775034352
All,Pickup,31,22.059792787942914
All,Pickup,32,22.40999268931768
All,Pickup,33,22.75885854345609
All,Pickup,34,23.107724397594502
All,Pickup,35,23.461041482091613
All,Pickup,36,23.816047013213954
All,Pickup,37,24.16635948937399
All,Pickup,38,24.509064360808928
All,Pickup,39,24.850195370509642
All,Pickup,40,25.186990979024596
All,Pickup,41,25.525699404141
All,Pickup,42,25.875965883960774
All,Pickup,43,26.226232363780547
All,Pickup,44,26.584178391533698
All,Pickup,45,26.943323320269165
All,Pickup,46,27.30628854875575
All,Pickup,47,27.676395167601367
All,Pickup,48,28.04650178644699
