age_years,mileage_predicted,vehicle_type,powertrain,coef
7.5,62478.2890609939,car,diesel,8666.567586655752
8,66811.57285432177,car,diesel,8666.567586655752
8.5,71144.85664764965,car,diesel,8666.567586655752
9,75478.14044097753,car,diesel,8666.567586655752
2,34320.486936715264,minivan,diesel,8847.635247668712
2.5,38744.30456054962,minivan,diesel,8847.635247668712
3,43168.122184383974,minivan,diesel,8847.635247668712
3.5,47591.93980821833,minivan,diesel,8847.635247668712
4,52015.75743205269,minivan,diesel,8847.635247668712
4.5,56439.57505588704,minivan,diesel,8847.635247668712
5,60863.3926797214,minivan,diesel,8847.635247668712
5.5,65287.21030355575,minivan,diesel,8847.635247668712
6,69711.02792739011,minivan,diesel,8847.635247668712
6.5,74134.84555122447,minivan,diesel,8847.635247668712
7,78558.66317505883,minivan,diesel,8847.635247668712
7.5,82982.48079889317,minivan,diesel,8847.635247668712
8,87406.29842272753,minivan,diesel,8847.635247668712
8.5,91830.11604656189,minivan,diesel,8847.635247668712
9,96253.93367039625,minivan,diesel,8847.635247668712
2,26364.74206867694,pickup,diesel,14752.511057074413
2.5,33740.99759721415,pickup,diesel,14752.511057074413
3,41117.253125751355,pickup,diesel,14752.511057074413
3.5,48493.508654288555,pickup,diesel,14752.511057074413
4,55869.76418282576,pickup,diesel,14752.511057074413
4.5,63246.01971136297,pickup,diesel,14752.511057074413
5,70622.27523990018,pickup,diesel,14752.511057074413
5.5,77998.53076843738,pickup,diesel,14752.511057074413
6,85374.78629697459,pickup,diesel,14752.511057074413
6.5,92751.0418255118,pickup,diesel,14752.511057074413
7,100127.297354049,pickup,diesel,14752.511057074413
7.5,107503.55288258621,pickup,diesel,14752.511057074413
8,114879.80841112342,pickup,diesel,14752.511057074413
8.5,122256.06393966063,pickup,diesel,14752.511057074413
9,129632.31946819783,pickup,diesel,14752.511057074413
2,16068.165366012636,suv,diesel,12131.758470467943
2.5,22134.044601246605,suv,diesel,12131.758470467943
3,28199.92383648058,suv,diesel,12131.758470467943
3.5,34265.80307171455,suv,diesel,12131.758470467943
4,40331.682306948525,suv,diesel,12131.758470467943
4.5,46397.56154218249,suv,diesel,12131.758470467943
5,52463.440777416465,suv,diesel,12131.758470467943
5.5,58529.32001265044,suv,diesel,12131.758470467943
6,64595.199247884404,suv,diesel,12131.758470467943
6.5,70661.07848311838,suv,diesel,12131.758470467943
7,76726.95771835235,suv,diesel,12131.758470467943
7.5,82792.83695358632,suv,diesel,12131.758470467943
8,88858.7161888203,suv,diesel,12131.758470467943
8.5,94924.59542405426,suv,diesel,12131.758470467943
9,100990.47465928824,suv,diesel,12131.758470467943
2,20047.11804548622,car,hev,11149.703091725145
2.5,25621.969591348792,car,hev,11149.703091725145
3,31196.821137211366,car,hev,11149.703091725145
3.5,36771.672683073935,car,hev,11149.703091725145
4,42346.52422893651,car,hev,11149.703091725145
4.5,47921.37577479908,car,hev,11149.703091725145
5,53496.22732066165,car,hev,11149.703091725145
5.5,59071.07886652423,car,hev,11149.703091725145
6,64645.9304123868,car,hev,11149.703091725145
6.5,70220.78195824937,car,hev,11149.703091725145
7,75795.63350411195,car,hev,11149.703091725145
7.5,81370.48504997452,car,hev,11149.703091725145
8,86945.33659583709,car,hev,11149.703091725145
8.5,92520.18814169966,car,hev,11149.703091725145
9,98095.03968756224,car,hev,11149.703091725145
2,13332.925488497589,cuv,hev,12059.884451866299
2.5,19362.867714430737,cuv,hev,12059.884451866299
3,25392.809940363888,cuv,hev,12059.884451866299
3.5,31422.75216629704,cuv,hev,12059.884451866299
4,37452.69439223019,cuv,hev,12059.884451866299
4.5,43482.636618163335,cuv,hev,12059.884451866299
5,49512.57884409648,cuv,hev,12059.884451866299
5.5,55542.52107002964,cuv,hev,12059.884451866299
6,61572.463295962785,cuv,hev,12059.884451866299
6.5,67602.40552189594,cuv,hev,12059.884451866299
7,73632.34774782909,cuv,hev,12059.884451866299
7.5,79662.28997376224,cuv,hev,12059.884451866299
8,85692.23219969538,cuv,hev,12059.884451866299
8.5,91722.17442562853,cuv,hev,12059.884451866299
9,97752.11665156168,cuv,hev,12059.884451866299
2,26138.352041076243,minivan,hev,9186.375558208461
2.5,30731.53982018047,minivan,hev,9186.375558208461
3,35324.727599284706,minivan,hev,9186.375558208461
3.5,39917.915378388934,minivan,hev,9186.375558208461
4,44511.10315749316,minivan,hev,9186.375558208461
4.5,49104.2909365974,minivan,hev,9186.375558208461
5,53697.478715701625,minivan,hev,9186.375558208461
5.5,58290.66649480586,minivan,hev,9186.375558208461
6,62883.85427391009,minivan,hev,9186.375558208461
6.5,67477.04205301432,minivan,hev,9186.375558208461
7,72070.22983211855,minivan,hev,9186.375558208461
7.5,76663.41761122277,minivan,hev,9186.375558208461
8,81256.60539032701,minivan,hev,9186.375558208461
8.5,85849.79316943124,minivan,hev,9186.375558208461
9,90442.98094853548,minivan,hev,9186.375558208461
2,13607.238154603529,cuv,bev,8969.193480365686
