listing_year,state,year,vehicle_type,avg_price,n_listings,dep_annual_rate,n_make_model_year
2020,AR,2012,suv,21574.82850352712,576,0.08856245521764616,2466
2020,AR,2013,car,14329.132953217746,1893,0.08856245521764616,2466
2020,AR,2013,cuv,15456.359645810764,1253,0.08856245521764616,2466
2020,AR,2013,minivan,13873.677697904941,120,0.08856245521764616,2466
2020,AR,2013,pickup,25565.18617566001,1355,0.08856245521764616,2466
2020,AR,2013,suv,23556.2219203307,717,0.08856245521764616,2466
2020,AR,2014,car,15992.918771680828,2281,0.08856245521764616,2466
2020,AR,2014,cuv,17458.090566946146,1420,0.08856245521764616,2466
2020,AR,2014,minivan,16064.625120195307,153,0.08856245521764616,2466
2020,AR,2014,pickup,29533.395344690496,2004,0.08856245521764616,2466
2020,AR,2014,suv,25752.95931897034,964,0.08856245521764616,2466
2020,AR,2015,car,17814.53854372426,2998,0.08856245521764616,2466
2020,AR,2015,cuv,19754.82238785462,2107,0.08856245521764616,2466
2020,AR,2015,minivan,18838.038990351586,199,0.08856245521764616,2466
2020,AR,2015,pickup,33983.02343077322,2527,0.08856245521764616,2466
2020,AR,2015,suv,31784.789720178596,1888,0.08856245521764616,2466
2020,AR,2016,car,20772.056621998243,3727,0.08856245521764616,2466
2020,AR,2016,cuv,22194.942572422286,2686,0.08856245521764616,2466
2020,AR,2016,minivan,20891.033307178786,270,0.08856245521764616,2466
2020,AR,2016,pickup,37335.622411514014,3256,0.08856245521764616,2466
2020,AR,2016,suv,36002.70661945211,2125,0.08856245521764616,2466
2020,AR,2017,car,22390.561736873817,5347,0.08856245521764616,2466
2020,AR,2017,cuv,26378.882491527984,5045,0.08856245521764616,2466
2020,AR,2017,minivan,25381.500181887466,375,0.08856245521764616,2466
2020,AR,2017,pickup,40882.11633728845,4174,0.08856245521764616,2466
2020,AR,2017,suv,39287.12255160836,2412,0.08856245521764616,2466
2020,AR,2018,car,23695.74122766061,4630,0.08856245521764616,2466
2020,AR,2018,cuv,27407.41770026005,3839,0.08856245521764616,2466
2020,AR,2018,minivan,26901.01723107863,324,0.08856245521764616,2466
2020,AR,2018,pickup,44197.07706475257,3782,0.08856245521764616,2466
2020,AR,2018,suv,43787.079023229264,1848,0.08856245521764616,2466
2020,AR,2019,cuv,31036.797302536546,3753,0.08856245521764616,2466
2020,AR,2019,car,26473.668169007437,5228,0.08856245521764616,2466
2020,AR,2019,minivan,28234.573152479683,567,0.08856245521764616,2466
2020,AR,2019,pickup,46738.78192822365,4193,0.08856245521764616,2466
2020,AR,2019,suv,45341.141826274565,2599,0.08856245521764616,2466
2020,AR,2020,car,31268.414539528963,846,0.08856245521764616,2466
2020,AR,2020,cuv,40655.08277563421,1098,0.08856245521764616,2466
2020,AR,2020,minivan,38594.030630220346,93,0.08856245521764616,2466
2020,AR,2020,pickup,56658.63163685471,746,0.08856245521764616,2466
2020,AR,2020,suv,55353.35727299885,550,0.08856245521764616,2466
2020,AR,2021,cuv,50925.68809740105,16,0.08856245521764616,2466
2020,AR,2021,car,47478.56611408432,2,0.08856245521764616,2466
2020,AR,2021,pickup,52967.65988260536,11,0.08856245521764616,2466
2020,AR,2021,suv,91560.85368109381,5,0.08856245521764616,2466
2020,AZ,2006,car,9148.797437175883,360,0.0883010253163985,2732
2020,AZ,2006,cuv,7278.230325329324,157,0.0883010253163985,2732
2020,AZ,2006,minivan,6721.308671309162,88,0.0883010253163985,2732
2020,AZ,2006,pickup,14623.648921621347,406,0.0883010253163985,2732
2020,AZ,2006,suv,11323.49372410567,214,0.0883010253163985,2732
2020,AZ,2007,car,9415.90529335707,957,0.0883010253163985,2732
2020,AZ,2007,cuv,8868.67598484466,530,0.0883010253163985,2732
2020,AZ,2007,minivan,7000.032923100954,156,0.0883010253163985,2732
2020,AZ,2007,pickup,16411.537684969797,689,0.0883010253163985,2732
2020,AZ,2007,suv,14317.838138052326,635,0.0883010253163985,2732
2020,AZ,2008,car,10524.347866934544,1135,0.0883010253163985,2732
2020,AZ,2008,cuv,9816.478315370914,717,0.0883010253163985,2732
2020,AZ,2008,minivan,8367.474124554756,142,0.0883010253163985,2732
2020,AZ,2008,pickup,18426.761261125677,847,0.0883010253163985,2732
2020,AZ,2008,suv,16035.917602294296,563,0.0883010253163985,2732
2020,AZ,2009,car,10253.992075307258,1056,0.0883010253163985,2732
2020,AZ,2009,cuv,10671.309753716041,609,0.0883010253163985,2732
2020,AZ,2009,minivan,8139.384414005098,143,0.0883010253163985,2732
2020,AZ,2009,pickup,19369.56126010926,393,0.0883010253163985,2732
2020,AZ,2009,suv,17090.270316563874,292,0.0883010253163985,2732
2020,AZ,2010,car,11273.546327577385,1851,0.0883010253163985,2732
2020,AZ,2010,cuv,12224.422727361401,998,0.0883010253163985,2732
2020,AZ,2010,minivan,10447.613944998806,226,0.0883010253163985,2732
2020,AZ,2010,pickup,20661.564508096842,739,0.0883010253163985,2732
2020,AZ,2010,suv,18366.677086134976,468,0.0883010253163985,2732
2020,AZ,2011,car,11798.394283137755,2463,0.0883010253163985,2732
2020,AZ,2011,cuv,12812.53674779257,1535,0.0883010253163985,2732
2020,AZ,2011,minivan,12722.117069393515,239,0.0883010253163985,2732
2020,AZ,2011,pickup,24255.830680117593,1130,0.0883010253163985,2732
2020,AZ,2011,suv,19281.203826799636,825,0.0883010253163985,2732
2020,AZ,2012,car,12184.889644524275,3873,0.0883010253163985,2732
2020,AZ,2012,cuv,14020.468803056385,1959,0.0883010253163985,2732
2020,AZ,2012,minivan,13005.114057322155,361,0.0883010253163985,2732
2020,AZ,2012,pickup,25817.698913880595,1240,0.0883010253163985,2732
2020,AZ,2012,suv,21438.190960802436,949,0.0883010253163985,2732
2020,AZ,2013,car,13423.179012381404,5450,0.0883010253163985,2732
2020,AZ,2013,cuv,15996.402198111757,2628,0.0883010253163985,2732
2020,AZ,2013,minivan,13708.605677101476,349,0.0883010253163985,2732
2020,AZ,2013,pickup,26466.821132891288,1779,0.0883010253163985,2732
2020,AZ,2013,suv,24475.060820372968,1152,0.0883010253163985,2732
2020,AZ,2014,car,15563.454672564205,6278,0.0883010253163985,2732
2020,AZ,2014,cuv,17807.054532105863,2873,0.0883010253163985,2732
2020,AZ,2014,minivan,16204.798000342143,449,0.0883010253163985,2732
2020,AZ,2014,pickup,30153.50172564191,2480,0.0883010253163985,2732
2020,AZ,2014,suv,26390.881996444663,1545,0.0883010253163985,2732
2020,AZ,2015,minivan,19045.40825190778,424,0.0883010253163985,2732
2020,AZ,2015,car,17172.152571445182,7895,0.0883010253163985,2732
2020,AZ,2015,cuv,19940.43854258321,3851,0.0883010253163985,2732
2020,AZ,2015,pickup,34781.64763460704,2909,0.0883010253163985,2732
2020,AZ,2015,suv,31266.725733124767,2276,0.0883010253163985,2732
2020,AZ,2016,minivan,20919.89572871397,589,0.0883010253163985,2732
2020,AZ,2016,car,19930.059896332994,9286,0.0883010253163985,2732
2020,AZ,2016,cuv,23154.198643487718,4870,0.0883010253163985,2732
2020,AZ,2016,pickup,36395.502049296585,3781,0.0883010253163985,2732
2020,AZ,2016,suv,37130.95877066159,2525,0.0883010253163985,2732
2020,AZ,2017,minivan,25022.94448669107,797,0.0883010253163985,2732
2020,AZ,2017,car,22535.449587830844,15026,0.0883010253163985,2732
2020,AZ,2017,cuv,27591.782677765863,10644,0.0883010253163985,2732
2020,AZ,2017,pickup,40772.284895911995,5032,0.0883010253163985,2732
2020,AZ,2017,suv,39208.45844132208,3899,0.0883010253163985,2732
2020,AZ,2018,cuv,28656.158987109924,7575,0.0883010253163985,2732
2020,AZ,2018,car,23179.38739564472,11258,0.0883010253163985,2732
2020,AZ,2018,minivan,25939.23649654896,840,0.0883010253163985,2732
2020,AZ,2018,pickup,43516.331520540065,4736,0.0883010253163985,2732
2020,AZ,2018,suv,43593.174877797195,3070,0.0883010253163985,2732
2020,AZ,2019,cuv,31611.931990202367,7195,0.0883010253163985,2732
2020,AZ,2019,car,25327.451946060777,11144,0.0883010253163985,2732
2020,AZ,2019,minivan,26039.61582390658,1192,0.0883010253163985,2732
2020,AZ,2019,pickup,44693.650844273034,6673,0.0883010253163985,2732
2020,AZ,2019,suv,46531.84789962704,4118,0.0883010253163985,2732
2020,AZ,2020,cuv,39482.5970710672,2317,0.0883010253163985,2732
2020,AZ,2020,car,31631.66584442758,2241,0.0883010253163985,2732
2020,AZ,2020,minivan,37197.7182873645,143,0.0883010253163985,2732
2020,AZ,2020,pickup,54040.19601861472,1435,0.0883010253163985,2732
2020,AZ,2020,suv,56273.62931435773,847,0.0883010253163985,2732
2020,AZ,2021,car,35569.78121904297,14,0.0883010253163985,2732
2020,AZ,2021,cuv,46724.63010137413,30,0.0883010253163985,2732
2020,AZ,2021,pickup,49123.485692651484,14,0.0883010253163985,2732
2020,AZ,2021,minivan,41451.36154856147,1,0.0883010253163985,2732
2020,AZ,2021,suv,80847.67348068078,7,0.0883010253163985,2732
2020,CA,2006,car,8342.41279870771,1429,0.0901970151011976,2908
2020,CA,2006,cuv,8132.4247651797405,581,0.0901970151011976,2908
2020,CA,2006,minivan,7006.96238228466,235,0.0901970151011976,2908
2020,CA,2006,pickup,15172.322413445578,988,0.0901970151011976,2908
2020,CA,2006,suv,11743.261357626925,548,0.0901970151011976,2908
2020,CA,2007,car,9490.42235891033,4199,0.0901970151011976,2908
2020,CA,2007,cuv,9510.32301315853,1722,0.0901970151011976,2908
2020,CA,2007,minivan,7901.194054503879,405,0.0901970151011976,2908
2020,CA,2007,pickup,17014.94797924204,1818,0.0901970151011976,2908
2020,CA,2007,suv,14712.327795939276,1804,0.0901970151011976,2908
2020,CA,2008,car,10333.617430299502,4621,0.0901970151011976,2908
2020,CA,2008,cuv,10487.630050719887,2363,0.0901970151011976,2908
2020,CA,2008,minivan,8425.988279542566,479,0.0901970151011976,2908
2020,CA,2008,pickup,18349.57357291557,2016,0.0901970151011976,2908
2020,CA,2008,suv,16468.233363844978,1418,0.0901970151011976,2908
2020,CA,2009,car,10509.535838334823,4456,0.0901970151011976,2908
2020,CA,2009,cuv,11497.174322379997,1917,0.0901970151011976,2908
2020,CA,2009,minivan,8932.346766339544,343,0.0901970151011976,2908
2020,CA,2009,pickup,19092.76142714249,1046,0.0901970151011976,2908
2020,CA,2009,suv,17802.060449925008,668,0.0901970151011976,2908
2020,CA,2010,car,11490.247261336033,7368,0.0901970151011976,2908
2020,CA,2010,cuv,13300.644297583784,3307,0.0901970151011976,2908
2020,CA,2010,minivan,10440.79108927854,470,0.0901970151011976,2908
2020,CA,2010,pickup,20521.287096400774,1700,0.0901970151011976,2908
2020,CA,2010,suv,19703.90651553886,1146,0.0901970151011976,2908
2020,CA,2011,car,12554.455846776027,9065,0.0901970151011976,2908
2020,CA,2011,cuv,13736.258706124105,4535,0.0901970151011976,2908
2020,CA,2011,minivan,13998.77533832177,805,0.0901970151011976,2908
2020,CA,2011,pickup,23827.881990575774,2632,0.0901970151011976,2908
2020,CA,2011,suv,20448.392633077834,2062,0.0901970151011976,2908
2020,CA,2012,cuv,15065.342357708041,5476,0.0901970151011976,2908
2020,CA,2012,car,12942.337011479487,13575,0.0901970151011976,2908
2020,CA,2012,minivan,14185.166007757069,1135,0.0901970151011976,2908
2020,CA,2012,pickup,25226.588364819723,2924,0.0901970151011976,2908
2020,CA,2012,suv,21967.739626810147,2300,0.0901970151011976,2908
2020,CA,2013,car,14396.753922799751,19403,0.0901970151011976,2908
2020,CA,2013,cuv,16809.571546761712,7637,0.0901970151011976,2908
2020,CA,2013,minivan,14842.95912807886,1221,0.0901970151011976,2908
2020,CA,2013,pickup,27107.83671150006,4089,0.0901970151011976,2908
2020,CA,2013,suv,25310.845330606324,2760,0.0901970151011976,2908
2020,CA,2014,cuv,18508.94059348307,8330,0.0901970151011976,2908
2020,CA,2014,minivan,17034.45629896796,1450,0.0901970151011976,2908
2020,CA,2014,car,16610.508815952668,22628,0.0901970151011976,2908
2020,CA,2014,pickup,30404.83813391038,6024,0.0901970151011976,2908
2020,CA,2014,suv,27628.706350357024,4088,0.0901970151011976,2908
2020,CA,2015,minivan,20429.83716610423,1661,0.0901970151011976,2908
2020,CA,2015,car,18207.218198330622,30036,0.0901970151011976,2908
2020,CA,2015,cuv,21536.637258826824,10856,0.0901970151011976,2908
2020,CA,2015,pickup,33892.972069801006,7536,0.0901970151011976,2908
2020,CA,2015,suv,32757.17744371635,6074,0.0901970151011976,2908
2020,CA,2016,cuv,26533.560798546398,18338,0.0901970151011976,2908
2020,CA,2016,minivan,22258.81030103671,2624,0.0901970151011976,2908
2020,CA,2016,car,21877.83611844138,45679,0.0901970151011976,2908
2020,CA,2016,pickup,36053.98739594191,9860,0.0901970151011976,2908
2020,CA,2016,suv,40666.04562537945,8733,0.0901970151011976,2908
2020,CA,2017,cuv,31203.579835646597,53135,0.0901970151011976,2908
2020,CA,2017,minivan,26716.604420157717,4441,0.0901970151011976,2908
2020,CA,2017,car,24062.585895587592,106079,0.0901970151011976,2908
2020,CA,2017,pickup,40149.731056223965,15629,0.0901970151011976,2908
2020,CA,2017,suv,42383.05455769901,14415,0.0901970151011976,2908
2020,CA,2018,cuv,31091.726478711887,32431,0.0901970151011976,2908
2020,CA,2018,car,24840.518187281097,60981,0.0901970151011976,2908
2020,CA,2018,minivan,26990.179695819883,3292,0.0901970151011976,2908
2020,CA,2018,pickup,42586.18495959336,12826,0.0901970151011976,2908
2020,CA,2018,suv,45494.760619196306,9000,0.0901970151011976,2908
2020,CA,2019,cuv,34384.565586161385,27642,0.0901970151011976,2908
2020,CA,2019,car,27400.11131927184,48356,0.0901970151011976,2908
2020,CA,2019,minivan,26523.0568549906,3901,0.0901970151011976,2908
2020,CA,2019,pickup,44197.989603665286,16423,0.0901970151011976,2908
2020,CA,2019,suv,47833.30624576655,12381,0.0901970151011976,2908
2020,CA,2020,cuv,45261.258728931134,10830,0.0901970151011976,2908
2020,CA,2020,car,36206.946976167215,12463,0.0901970151011976,2908
2020,CA,2020,minivan,39444.508963692984,505,0.0901970151011976,2908
2020,CA,2020,pickup,53717.57688166112,3253,0.0901970151011976,2908
2020,CA,2020,suv,65284.83163697503,2736,0.0901970151011976,2908
2020,CA,2021,cuv,50562.583424329496,219,0.0901970151011976,2908
2020,CA,2021,car,38525.48549267263,114,0.0901970151011976,2908
2020,CA,2021,pickup,46641.075916630434,98,0.0901970151011976,2908
2020,CA,2021,suv,81422.96445766842,30,0.0901970151011976,2908
2020,CA,2021,minivan,47007.83761861489,4,0.0901970151011976,2908
2020,CO,2006,cuv,8140.214299494363,310,0.08625798461613687,2709
2020,CO,2006,minivan,6585.477202200628,98,0.08625798461613687,2709
2020,CO,2006,pickup,15491.63098264359,473,0.08625798461613687,2709
2020,CO,2006,suv,11046.41253606341,409,0.08625798461613687,2709
2020,CO,2006,car,7656.906432908861,426,0.08625798461613687,2709
2020,CO,2007,cuv,9290.64488153567,875,0.08625798461613687,2709
2020,CO,2007,car,8646.289647889744,1112,0.08625798461613687,2709
2020,CO,2007,minivan,7056.6558462934045,152,0.08625798461613687,2709
2020,CO,2007,pickup,16375.876538947501,903,0.08625798461613687,2709
2020,CO,2007,suv,13699.418382429669,1116,0.08625798461613687,2709
2020,CO,2008,car,9137.669045586965,1342,0.08625798461613687,2709
2020,CO,2008,cuv,10204.316852054655,1255,0.08625798461613687,2709
2020,CO,2008,minivan,8566.670971249392,182,0.08625798461613687,2709
2020,CO,2008,pickup,18234.29356606314,1201,0.08625798461613687,2709
2020,CO,2008,suv,15736.397497953536,1087,0.08625798461613687,2709
2020,CO,2009,cuv,11171.965769534494,1081,0.08625798461613687,2709
2020,CO,2009,car,9800.968175342494,1287,0.08625798461613687,2709
2020,CO,2009,minivan,8723.948385700316,110,0.08625798461613687,2709
2020,CO,2009,pickup,19555.97544380945,626,0.08625798461613687,2709
2020,CO,2009,suv,17059.80110825324,504,0.08625798461613687,2709
2020,CO,2010,cuv,12596.144436525676,1610,0.08625798461613687,2709
2020,CO,2010,car,10772.4272698986,1836,0.08625798461613687,2709
2020,CO,2010,minivan,9784.881304921324,183,0.08625798461613687,2709
2020,CO,2010,pickup,21250.41424496736,1027,0.08625798461613687,2709
2020,CO,2010,suv,18928.407627120105,861,0.08625798461613687,2709
2020,CO,2011,car,12140.807011607214,2299,0.08625798461613687,2709
2020,CO,2011,cuv,13470.76985051724,2199,0.08625798461613687,2709
