listing_year,state,year,vehicle_type,avg_price,n_listings,n_make_model_year
2018,IN,2017,minivan,39476.860529498896,322,587
2018,IN,2017,cuv,39507.3003035775,2838,587
2018,IN,2017,pickup,49469.9007023773,1525,587
2018,IN,2017,suv,61442.52928277495,1041,587
2018,IN,2018,car,32718.4054271557,33159,587
2018,IN,2018,minivan,44998.60236548399,3959,587
2018,IN,2018,cuv,40141.44618188762,45675,587
2018,IN,2018,pickup,52325.5430797141,21862,587
2018,IN,2018,suv,61712.21752372092,12122,587
2018,IN,2019,car,36575.96850387235,5286,587
2018,IN,2019,minivan,48219.190755307034,1337,587
2018,IN,2019,cuv,43306.46507227023,11089,587
2018,IN,2019,pickup,57719.47233951181,4069,587
2018,IN,2019,suv,55165.10495400237,3069,587
2018,KS,2016,car,39174.58519178626,42,519
2018,KS,2016,minivan,36175.03760855907,3,519
2018,KS,2016,suv,57767.13778230178,12,519
2018,KS,2016,cuv,33657.14642816118,26,519
2018,KS,2016,pickup,50696.36842653582,13,519
2018,KS,2017,car,31839.803306224367,1090,519
2018,KS,2017,cuv,37417.63164546119,920,519
2018,KS,2017,minivan,40566.3412864605,134,519
2018,KS,2017,pickup,50165.22368400404,898,519
2018,KS,2017,suv,59728.56853605052,429,519
2018,KS,2018,car,32966.84366240951,11315,519
2018,KS,2018,cuv,40461.84228059974,14095,519
2018,KS,2018,minivan,45344.93402826525,1087,519
2018,KS,2018,pickup,53448.88970951795,10225,519
2018,KS,2018,suv,61142.50698498565,5142,519
2018,KS,2019,car,39397.187762725334,1689,519
2018,KS,2019,cuv,45303.809122144026,3113,519
2018,KS,2019,minivan,49495.86136892337,325,519
2018,KS,2019,pickup,59568.33860490333,1583,519
2018,KS,2019,suv,56964.181334442575,990,519
2018,KY,2016,cuv,34651.39506707346,23,529
2018,KY,2016,car,42171.59076119307,48,529
2018,KY,2016,pickup,51211.65777510662,9,529
2018,KY,2016,minivan,34825.817841833436,2,529
2018,KY,2016,suv,67044.319747014335,10,529
2018,KY,2017,car,33180.91130519365,1999,529
2018,KY,2017,minivan,38608.51106146967,184,529
2018,KY,2017,cuv,36020.52295807124,1783,529
2018,KY,2017,pickup,48541.50209933898,1159,529
2018,KY,2017,suv,62093.94324978373,716,529
2018,KY,2018,car,30951.816719334427,20652,529
2018,KY,2018,minivan,42642.59900901071,1937,529
2018,KY,2018,cuv,38561.304433836034,23540,529
2018,KY,2018,pickup,50756.04039285866,13962,529
2018,KY,2018,suv,60523.80100487361,7254,529
2018,KY,2019,car,34960.84642575448,3718,529
2018,KY,2019,minivan,46638.69950395047,697,529
2018,KY,2019,cuv,43564.822814544765,4848,529
2018,KY,2019,pickup,56009.10714247729,2913,529
2018,KY,2019,suv,51271.151815631565,2105,529
2018,LA,2016,minivan,44538.80009784687,17,564
2018,LA,2016,car,37409.124593850036,204,564
2018,LA,2016,pickup,54254.19385691323,67,564
2018,LA,2016,cuv,43403.27677036968,88,564
2018,LA,2016,suv,59030.57993861604,50,564
2018,LA,2017,car,32985.11791345566,2275,564
2018,LA,2017,minivan,41504.817437360834,202,564
2018,LA,2017,pickup,49007.717277723685,2090,564
2018,LA,2017,cuv,40550.366645273825,1625,564
2018,LA,2017,suv,63612.45024435332,937,564
2018,LA,2018,car,32656.364324459137,25019,564
2018,LA,2018,minivan,44386.774162582646,1308,564
2018,LA,2018,cuv,40446.04793603951,23245,564
2018,LA,2018,pickup,50405.20457068173,26254,564
2018,LA,2018,suv,63337.14848004135,11451,564
2018,LA,2019,car,36012.52611100783,3871,564
2018,LA,2019,minivan,47153.127039016086,376,564
2018,LA,2019,cuv,45909.18300559537,5212,564
2018,LA,2019,pickup,56809.05442923603,4417,564
2018,LA,2019,suv,56773.5660667199,2800,564
2018,MA,2016,car,36881.48229988895,119,591
2018,MA,2016,minivan,34146.842013530055,2,591
2018,MA,2016,pickup,49529.2048276391,51,591
2018,MA,2016,cuv,37288.65656729623,37,591
2018,MA,2016,suv,85915.42607179002,8,591
2018,MA,2017,car,33708.61219483251,3566,591
2018,MA,2017,cuv,39539.45373561988,2933,591
2018,MA,2017,minivan,41360.10902638089,337,591
2018,MA,2017,pickup,51156.2031498156,1622,591
2018,MA,2017,suv,60160.329290882495,1006,591
2018,MA,2018,car,34854.14967573889,45863,591
2018,MA,2018,cuv,42492.481812625345,69676,591
2018,MA,2018,minivan,45666.977265075664,3063,591
2018,MA,2018,pickup,50991.92058926911,23612,591
2018,MA,2018,suv,59851.25178235325,16409,591
2018,MA,2019,car,37391.41213507857,10363,591
2018,MA,2019,cuv,46656.18253783451,14908,591
2018,MA,2019,minivan,46697.62383142027,1014,591
2018,MA,2019,pickup,54112.937053688875,4870,591
2018,MA,2019,suv,53364.18393832355,4755,591
2018,MD,2016,car,30522.48395234087,283,585
2018,MD,2016,cuv,40430.263366731226,140,585
2018,MD,2016,pickup,49623.54916177145,18,585
2018,MD,2016,suv,57866.186618857435,14,585
2018,MD,2016,minivan,42551.978760408376,33,585
2018,MD,2017,car,31945.812272094307,4405,585
2018,MD,2017,cuv,37172.77593323284,3338,585
2018,MD,2017,minivan,40673.678838612366,307,585
2018,MD,2017,pickup,45237.05737778462,1483,585
2018,MD,2017,suv,60997.47787116188,913,585
2018,MD,2018,car,31676.44562812862,59042,585
2018,MD,2018,cuv,40120.90804571099,59635,585
2018,MD,2018,minivan,43861.47847734071,4646,585
2018,MD,2018,pickup,48704.470989995374,18072,585
2018,MD,2018,suv,58572.09625941918,13775,585
2018,MD,2019,car,36381.06266663115,12292,585
2018,MD,2019,cuv,47047.30783702981,12283,585
2018,MD,2019,minivan,48104.855630836144,1742,585
2018,MD,2019,pickup,53502.41532117908,3965,585
2018,MD,2019,suv,53030.867006319306,3289,585
2018,ME,2016,car,39362.72780968867,13,470
2018,ME,2016,pickup,55191.07291224644,7,470
2018,ME,2016,minivan,37146.93997722001,2,470
2018,ME,2016,suv,66637.76801671865,1,470
2018,ME,2016,cuv,37095.81452754905,2,470
2018,ME,2017,car,30969.75012875267,817,470
2018,ME,2017,minivan,43600.39169018299,96,470
2018,ME,2017,pickup,50161.74459985491,677,470
2018,ME,2017,cuv,38755.28510404034,540,470
2018,ME,2017,suv,64796.255744684204,163,470
2018,ME,2018,car,32604.215087384906,6485,470
2018,ME,2018,minivan,43485.071673393264,520,470
2018,ME,2018,pickup,51991.26129616481,8888,470
2018,ME,2018,cuv,39185.12692967718,12467,470
2018,ME,2018,suv,57639.400138283585,2806,470
2018,ME,2019,car,36854.6101815349,1484,470
2018,ME,2019,minivan,44803.40710988773,138,470
2018,ME,2019,pickup,56126.674039616984,1745,470
2018,ME,2019,cuv,43212.022253458934,2623,470
2018,ME,2019,suv,49947.046174849485,829,470
2018,MI,2016,car,38142.95314022223,133,589
2018,MI,2016,minivan,38369.34161311777,3,589
2018,MI,2016,cuv,36937.636910067726,44,589
2018,MI,2016,pickup,52111.38701003306,56,589
2018,MI,2016,suv,63448.3781005231,22,589
2018,MI,2017,car,36598.58067096189,3722,589
2018,MI,2017,minivan,39871.80386208006,478,589
2018,MI,2017,cuv,40129.33051193702,3212,589
2018,MI,2017,pickup,49955.169262393814,1621,589
2018,MI,2017,suv,63685.27400467297,1427,589
2018,MI,2018,car,34648.923741201856,53204,589
2018,MI,2018,minivan,45137.75623487958,9254,589
2018,MI,2018,cuv,38179.572293425605,130252,589
2018,MI,2018,pickup,52066.479546176386,62567,589
2018,MI,2018,suv,60079.85411844004,29394,589
2018,MI,2019,car,39131.335339312005,7321,589
2018,MI,2019,cuv,39745.49423696573,36661,589
2018,MI,2019,minivan,47804.38109005463,1359,589
2018,MI,2019,pickup,56078.99789054281,13430,589
2018,MI,2019,suv,52055.35896026451,9129,589
2018,MN,2016,car,34166.03392531848,104,538
2018,MN,2016,cuv,40833.308537432466,82,538
2018,MN,2016,suv,76327.51222872495,27,538
2018,MN,2016,pickup,54048.280231883706,63,538
2018,MN,2017,car,33929.43066720426,1679,538
2018,MN,2017,minivan,40232.45363775804,309,538
2018,MN,2017,cuv,36740.93854039489,2357,538
2018,MN,2017,pickup,52163.7555741042,1340,538
2018,MN,2017,suv,58748.36948841962,950,538
2018,MN,2018,car,34500.6251260828,23360,538
2018,MN,2018,minivan,44170.59456388148,3602,538
2018,MN,2018,cuv,41368.71189091705,44859,538
2018,MN,2018,pickup,54369.97802718935,26656,538
2018,MN,2018,suv,61688.62987887105,11601,538
2018,MN,2019,car,37977.35646219908,4087,538
2018,MN,2019,minivan,45815.47406986597,848,538
2018,MN,2019,cuv,46090.740265817345,10664,538
2018,MN,2019,pickup,59044.82562788035,5371,538
2018,MN,2019,suv,51399.452526392786,4266,538
2018,MO,2016,car,39342.59366006623,76,559
2018,MO,2016,suv,78362.08666154588,9,559
2018,MO,2016,cuv,33242.85162143301,39,559
2018,MO,2016,minivan,34767.508149673275,15,559
2018,MO,2016,pickup,48818.52785854609,32,559
2018,MO,2017,car,30413.499284480942,3402,559
2018,MO,2017,minivan,38826.09502921692,506,559
2018,MO,2017,pickup,48322.7893154798,2023,559
2018,MO,2017,cuv,35873.269247913595,3111,559
2018,MO,2017,suv,62464.20625871839,1137,559
2018,MO,2018,car,31482.271853617232,32792,559
2018,MO,2018,minivan,43045.321315191315,3280,559
2018,MO,2018,pickup,51761.33425273653,25127,559
2018,MO,2018,cuv,38569.215907697384,40486,559
2018,MO,2018,suv,60542.13957934267,13129,559
2018,MO,2019,car,35800.924868516864,4564,559
2018,MO,2019,cuv,44214.91905013128,8039,559
2018,MO,2019,minivan,47833.84632318206,874,559
2018,MO,2019,pickup,57599.24458688054,4023,559
2018,MO,2019,suv,52686.615434810126,3077,559
