age_years,rr_predicted,make,model,powertrain,vehicle_type
1,0.6309827627779503,bmw,i3,bev,car
1.5,0.6056672456211524,bmw,i3,bev,car
2,0.5813674066202752,bmw,i3,bev,car
2.5,0.5580424959810317,bmw,i3,bev,car
3,0.5356533988224431,bmw,i3,bev,car
3.5,0.5141625695828514,bmw,i3,bev,car
4,0.4935339690576125,bmw,i3,bev,car
4.5,0.4737330039628854,bmw,i3,bev,car
5,0.4547264689241712,bmw,i3,bev,car
1,0.34251001295048966,chevrolet,spark,bev,car
1.5,0.34940821464727534,chevrolet,spark,bev,car
2,0.3564453471339659,chevrolet,spark,bev,car
2.5,0.3636242084969658,chevrolet,spark,bev,car
3,0.3709476531765487,chevrolet,spark,bev,car
3.5,0.37841859310183207,chevrolet,spark,bev,car
4,0.38603999884861134,chevrolet,spark,bev,car
4.5,0.39381490082051246,chevrolet,spark,bev,car
5,0.401746390453933,chevrolet,spark,bev,car
1,0.7013445267871091,chevrolet,bolt ev,bev,car
1.5,0.6696615206010746,chevrolet,bolt ev,bev,car
2,0.6394097837023087,chevrolet,bolt ev,bev,car
2.5,0.6105246589758694,chevrolet,bolt ev,bev,car
3,0.5829444101705192,chevrolet,bolt ev,bev,car
3.5,0.556610089949677,chevrolet,bolt ev,bev,car
4,0.5314654139031241,chevrolet,bolt ev,bev,car
4.5,0.5074566402501897,chevrolet,bolt ev,bev,car
5,0.48453245497730546,chevrolet,bolt ev,bev,car
1,0.5054027604366046,smart,fortwo,bev,car
1.5,0.49445292523100903,smart,fortwo,bev,car
2,0.4837403243668448,smart,fortwo,bev,car
2.5,0.4732598180286079,smart,fortwo,bev,car
3,0.4630063777577897,smart,fortwo,bev,car
3.5,0.4529750840402647,smart,fortwo,bev,car
4,0.44316112394594936,smart,fortwo,bev,car
4.5,0.43355978881959856,smart,fortwo,bev,car
5,0.4241664720216329,smart,fortwo,bev,car
1,0.300504378341484,fiat,500e,bev,car
1.5,0.3028817067799893,fiat,500e,bev,car
2,0.3052778425667792,fiat,500e,bev,car
2.5,0.3076929344891832,fiat,500e,bev,car
3,0.3101271325116062,fiat,500e,bev,car
3.5,0.31258058778484055,fiat,500e,bev,car
4,0.31505345265545204,fiat,500e,bev,car
4.5,0.3175458806752393,fiat,500e,bev,car
5,0.32005802661076904,fiat,500e,bev,car
1,0.7447651870042998,tesla,model 3,bev,car
1.5,0.7237931340318653,tesla,model 3,bev,car
2,0.7034116390145465,tesla,model 3,bev,car
2.5,0.6836040722643101,tesla,model 3,bev,car
3,0.6643542723731986,tesla,model 3,bev,car
3.5,0.6456465330268998,tesla,model 3,bev,car
4,0.6274655901896365,tesla,model 3,bev,car
4.5,0.6097966096499206,tesla,model 3,bev,car
5,0.592625174917009,tesla,model 3,bev,car
1,0.7436744895163531,nissan,leaf,bev,car
1.5,0.6944757797380403,nissan,leaf,bev,car
2,0.6485318717284756,nissan,leaf,bev,car
2.5,0.6056274400329554,nissan,leaf,bev,car
3,0.5655614043197476,nissan,leaf,bev,car
3.5,0.528145986976283,nissan,leaf,bev,car
4,0.49320583305124327,nissan,leaf,bev,car
4.5,0.4605771884179713,nissan,leaf,bev,car
5,0.4301071323075031,nissan,leaf,bev,car
1,0.5657161466306543,volkswagen,e-golf,bev,car
1.5,0.5561196298638045,volkswagen,e-golf,bev,car
2,0.5466859034549902,volkswagen,e-golf,bev,car
2.5,0.5374122059125875,volkswagen,e-golf,bev,car
3,0.5282958225894915,volkswagen,e-golf,bev,car
3.5,0.5193340848884697,volkswagen,e-golf,bev,car
4,0.5105243694809959,volkswagen,e-golf,bev,car
4.5,0.5018640975393354,volkswagen,e-golf,bev,car
5,0.4933507339816561,volkswagen,e-golf,bev,car
1,0.8751568005728885,tesla,model s,bev,car
1.5,0.8274664342089437,tesla,model s,bev,car
2,0.7823748833286225,tesla,model s,bev,car
2.5,0.739740529352894,tesla,model s,bev,car
3,0.6994294709962611,tesla,model s,bev,car
3.5,0.6613151037243431,tesla,model s,bev,car
4,0.6252777221282924,tesla,model s,bev,car
4.5,0.5912041439672236,tesla,model s,bev,car
5,0.5589873546978921,tesla,model s,bev,car
1,0.8642638364019948,hyundai,ioniq,bev,car
1.5,0.811214615280372,hyundai,ioniq,bev,car
2,0.7614215987378122,hyundai,ioniq,bev,car
2.5,0.7146849182741467,hyundai,ioniq,bev,car
3,0.6708169734812103,hyundai,ioniq,bev,car
3.5,0.6296416790173213,hyundai,ioniq,bev,car
4,0.5909937578030828,hyundai,ioniq,bev,car
4.5,0.5547180776014043,hyundai,ioniq,bev,car
5,0.5206690283187835,hyundai,ioniq,bev,car
1,0.6435618267192439,ford,focus,bev,car
1.5,0.6122870662865008,ford,focus,bev,car
2,0.5825321452841222,ford,focus,bev,car
2.5,0.5542232050522139,ford,focus,bev,car
3,0.5272899761927017,ford,focus,bev,car
3.5,0.5016656041442834,ford,focus,bev,car
4,0.4772864832338003,ford,focus,bev,car
4.5,0.4540920987921085,ford,focus,bev,car
5,0.43202487694254366,ford,focus,bev,car
1,0.4619262705176416,kia,soul,bev,car
1.5,0.45737747929843464,kia,soul,bev,car
2,0.452873482027692,kia,soul,bev,car
2.5,0.44841383759969533,kia,soul,bev,car
3,0.4439981092524882,kia,soul,bev,car
3.5,0.4396258645251014,kia,soul,bev,car
4,0.4352966752151989,kia,soul,bev,car
4.5,0.43101011733714184,kia,soul,bev,car
5,0.42676577108046426,kia,soul,bev,car
1,0.5757617429440354,mitsubishi,i-miev,bev,car
1.5,0.5388616726242129,mitsubishi,i-miev,bev,car
2,0.5043264957803715,mitsubishi,i-miev,bev,car
2.5,0.4720046484424627,mitsubishi,i-miev,bev,car
3,0.4417542802437147,mitsubishi,i-miev,bev,car
3.5,0.41344263188422986,mitsubishi,i-miev,bev,car
4,0.38694545249240025,mitsubishi,i-miev,bev,car
4.5,0.3621464543271245,mitsubishi,i-miev,bev,car
5,0.3389368024276856,mitsubishi,i-miev,bev,car
1,0.8524039549375894,porsche,taycan,bev,car
1.5,0.8044823085804507,porsche,taycan,bev,car
2,0.7592547888475212,porsche,taycan,bev,car
2.5,0.7165699335329082,porsche,taycan,bev,car
3,0.6762847955463809,porsche,taycan,bev,car
3.5,0.6382644641986029,porsche,taycan,bev,car
4,0.6023816133994259,porsche,taycan,bev,car
4.5,0.5685160752562065,porsche,taycan,bev,car
5,0.5365544376441765,porsche,taycan,bev,car
1,0.8666527267911885,mini,hardtop 2 door,bev,car
1.5,0.837001302272611,mini,hardtop 2 door,bev,car
2,0.8083643636591737,mini,hardtop 2 door,bev,car
2.5,0.7807072016015472,mini,hardtop 2 door,bev,car
3,0.7539962942867934,mini,hardtop 2 door,bev,car
3.5,0.7281992668083133,mini,hardtop 2 door,bev,car
4,0.7032848519259003,mini,hardtop 2 door,bev,car
4.5,0.6792228521683387,mini,hardtop 2 door,bev,car
5,0.6559841032326131,mini,hardtop 2 door,bev,car
1,0.8673133688665825,ford,f-150 lightning,bev,pickup
1.5,0.8358787506422347,ford,f-150 lightning,bev,pickup
2,0.8055834383001446,ford,f-150 lightning,bev,pickup
2.5,0.7763861392155988,ford,f-150 lightning,bev,pickup
3,0.7482470573600856,ford,f-150 lightning,bev,pickup
3.5,0.7211278390591578,ford,f-150 lightning,bev,pickup
4,0.6949915207162306,ford,f-150 lightning,bev,pickup
4.5,0.6698024784310606,ford,f-150 lightning,bev,pickup
5,0.645526379444235,ford,f-150 lightning,bev,pickup
1,0.9405185146511476,rivian,r1t,bev,pickup
1.5,0.9152632749684984,rivian,r1t,bev,pickup
2,0.8906862007036396,rivian,r1t,bev,pickup
2.5,0.8667690814440127,rivian,r1t,bev,pickup
3,0.8434941957715092,rivian,r1t,bev,pickup
3.5,0.8208442981317648,rivian,r1t,bev,pickup
4,0.7988026060560454,rivian,r1t,bev,pickup
4.5,0.7773527877262562,rivian,r1t,bev,pickup
5,0.7564789498738627,rivian,r1t,bev,pickup
1,0.9614894058141298,gmc,hummer ev,bev,pickup
1.5,0.9208982679709541,gmc,hummer ev,bev,pickup
2,0.8820207636441131,gmc,hummer ev,bev,pickup
2.5,0.8447845484751002,gmc,hummer ev,bev,pickup
3,0.8091203322626477,gmc,hummer ev,bev,pickup
3.5,0.7749617500255613,gmc,hummer ev,bev,pickup
4,0.7422452385088893,gmc,hummer ev,bev,pickup
4.5,0.7109099179036206,gmc,hummer ev,bev,pickup
5,0.6808974785598167,gmc,hummer ev,bev,pickup
1,0.6278930246104749,tesla,cybertruck,bev,pickup
1.5,1.0276311597951606,tesla,cybertruck,bev,pickup
2,1.6818562385480746,tesla,cybertruck,bev,pickup
2.5,2.7525833371060062,tesla,cybertruck,bev,pickup
3,4.504971860290817,tesla,cybertruck,bev,pickup
3.5,7.372990742343696,tesla,cybertruck,bev,pickup
4,12.066888356362918,tesla,cybertruck,bev,pickup
4.5,19.74908143701821,tesla,cybertruck,bev,pickup
5,32.32202089615877,tesla,cybertruck,bev,pickup
1,0.7578711291887376,chevrolet,silverado ev,bev,pickup
1.5,0.7037732689529755,chevrolet,silverado ev,bev,pickup
2,0.6535369867208786,chevrolet,silverado ev,bev,pickup
2.5,0.6068866378622635,chevrolet,silverado ev,bev,pickup
3,0.5635662536312814,chevrolet,silverado ev,bev,pickup
3.5,0.5233381366753385,chevrolet,silverado ev,bev,pickup
4,0.48598155679847654,chevrolet,silverado ev,bev,pickup
4.5,0.4512915398229193,chevrolet,silverado ev,bev,pickup
5,0.41907774290330846,chevrolet,silverado ev,bev,pickup
1,0.9355600184275418,rivian,r1s,bev,suv
1.5,0.9173067783160748,rivian,r1s,bev,suv
2,0.8994096679750172,rivian,r1s,bev,suv
2.5,0.8818617391358646,rivian,r1s,bev,suv
3,0.8646561790942783,rivian,r1s,bev,suv
3.5,0.8477863080651608,rivian,r1s,bev,suv
4,0.8312455765893362,rivian,r1s,bev,suv
4.5,0.8150275629908263,rivian,r1s,bev,suv
5,0.7991259708837375,rivian,r1s,bev,suv
1,0.9672817697496876,gmc,hummer ev,bev,suv
1.5,0.8570486928667331,gmc,hummer ev,bev,suv
2,0.7593779650521663,gmc,hummer ev,bev,suv
2.5,0.6728379596238834,gmc,hummer ev,bev,suv
3,0.5961602005132334,gmc,hummer ev,bev,suv
3.5,0.528220769343411,gmc,hummer ev,bev,suv
4,0.4680238313888442,gmc,hummer ev,bev,suv
4.5,0.41468703894428866,gmc,hummer ev,bev,suv
5,0.3674285981508269,gmc,hummer ev,bev,suv
1,0.8059563006312924,bmw,4 series,cv,car
1.5,0.7714462607140593,bmw,4 series,cv,car
2,0.7384138975072834,bmw,4 series,cv,car
2.5,0.7067959387439411,bmw,4 series,cv,car
3,0.6765318213962808,bmw,4 series,cv,car
3.5,0.6475635756695873,bmw,4 series,cv,car
4,0.6198357139631905,bmw,4 series,cv,car
4.5,0.5932951245860227,bmw,4 series,cv,car
5,0.5678909700231438,bmw,4 series,cv,car
1,0.9189028613754592,bmw,3 series,cv,car
1.5,0.8622968451575156,bmw,3 series,cv,car
2,0.8091778580987475,bmw,3 series,cv,car
2.5,0.7593310931314731,bmw,3 series,cv,car
3,0.7125549756773927,bmw,3 series,cv,car
3.5,0.6686603485032041,bmw,3 series,cv,car
4,0.6274697067905293,bmw,3 series,cv,car
4.5,0.588816480326867,bmw,3 series,cv,car
5,0.5525443599148309,bmw,3 series,cv,car
1,0.6745093363881496,ford,fusion,cv,car
1.5,0.6527995927649591,ford,fusion,cv,car
2,0.6317885985033542,ford,fusion,cv,car
2.5,0.6114538636707593,ford,fusion,cv,car
3,0.591773622195106,ford,fusion,cv,car
3.5,0.5727268085666739,ford,fusion,cv,car
4,0.5542930352898048,ford,fusion,cv,car
4.5,0.5364525710603565,ford,fusion,cv,car
5,0.5191863196455359,ford,fusion,cv,car
1,0.8123095405906721,mini,cooper,cv,car
1.5,0.7828041507541152,mini,cooper,cv,car
2,0.7543704804849221,mini,cooper,cv,car
2.5,0.7269696018842432,mini,cooper,cv,car
3,0.700564001025088,mini,cooper,cv,car
3.5,0.6751175265928504,mini,cooper,cv,car
4,0.650595340391357,mini,cooper,cv,car
4.5,0.6269638696466753,mini,cooper,cv,car
5,0.6041907610433837,mini,cooper,cv,car
1,0.7304590093345913,chevrolet,camaro,cv,car
1.5,0.7126137517341644,chevrolet,camaro,cv,car
2,0.6952044572949225,chevrolet,camaro,cv,car
2.5,0.6782204753508924,chevrolet,camaro,cv,car
3,0.6616514154339699,chevrolet,camaro,cv,car
3.5,0.6454871409172354,chevrolet,camaro,cv,car
4,0.6297177628135631,chevrolet,camaro,cv,car
4.5,0.614333633725732,chevrolet,camaro,cv,car
5,0.5993253419443374,chevrolet,camaro,cv,car
1,0.7683228090470299,chevrolet,cruze,cv,car
1.5,0.7436784080113401,chevrolet,cruze,cv,car
2,0.7198244904745865,chevrolet,cruze,cv,car
2.5,0.6967357012187142,chevrolet,cruze,cv,car
3,0.6743874983090365,chevrolet,cruze,cv,car
3.5,0.6527561270076985,chevrolet,cruze,cv,car
4,0.6318185945238793,chevrolet,cruze,cv,car
4.5,0.6115526455738994,chevrolet,cruze,cv,car
5,0.5919367387252487,chevrolet,cruze,cv,car
1,0.41404727812756437,chrysler,200,cv,car
1.5,0.4093933796675873,chrysler,200,cv,car
2,0.4047917911055855,chrysler,200,cv,car
2.5,0.4002419244774145,chrysler,200,cv,car
3,0.395743198427657,chrysler,200,cv,car
3.5,0.3912950381353402,chrysler,200,cv,car
4,0.38689687524048916,chrysler,200,cv,car
4.5,0.38254814777150453,chrysler,200,cv,car
5,0.37824830007335747,chrysler,200,cv,car
1,0.7128334151645426,chrysler,300,cv,car
1.5,0.6868750435392471,chrysler,300,cv,car
2,0.6618619657836019,chrysler,300,cv,car
2.5,0.6377597583015164,chrysler,300,cv,car
3,0.6145352510583648,chrysler,300,cv,car
3.5,0.5921564819315907,chrysler,300,cv,car
4,0.5705926527236688,chrysler,300,cv,car
4.5,0.5498140867768898,chrysler,300,cv,car
5,0.5297921881316326,chrysler,300,cv,car
1,0.7963871877210758,chevrolet,malibu,cv,car
1.5,0.77002544059336,chevrolet,malibu,cv,car
2,0.7445363113609851,chevrolet,malibu,cv,car
2.5,0.7198909149129764,chevrolet,malibu,cv,car
3,0.696061322283816,chevrolet,malibu,cv,car
3.5,0.6730205290034298,chevrolet,malibu,cv,car
4,0.6507424244948427,chevrolet,malibu,cv,car
4.5,0.629201762484823,chevrolet,malibu,cv,car
5,0.6083741323939841,chevrolet,malibu,cv,car
1,0.6534063205952644,dodge,challenger,cv,car
1.5,0.6488220368629066,dodge,challenger,cv,car
2,0.6442699163598847,dodge,challenger,cv,car
2.5,0.6397497334297205,dodge,challenger,cv,car
3,0.6352612639991367,dodge,challenger,cv,car
3.5,0.630804285566949,dodge,challenger,cv,car
4,0.626378577193036,dodge,challenger,cv,car
4.5,0.6219839194873875,dodge,challenger,cv,car
5,0.6176200945992283,dodge,challenger,cv,car
1,0.7067417339725258,dodge,charger,cv,car
1.5,0.6886765973814762,dodge,charger,cv,car
2,0.6710732265874157,dodge,charger,cv,car
2.5,0.6539198183221989,dodge,charger,cv,car
3,0.6372048710228733,dodge,charger,cv,car
3.5,0.6209171771197454,dodge,charger,cv,car
4,0.6050458155215733,dodge,charger,cv,car
4.5,0.5895801442928453,dodge,charger,cv,car
5,0.5745097935182369,dodge,charger,cv,car
1,0.7725061137977193,ford,fiesta,cv,car
1.5,0.7524401270021382,ford,fiesta,cv,car
2,0.7328953578628176,ford,fiesta,cv,car
2.5,0.7138582676563461,ford,fiesta,cv,car
3,0.6953156693301153,ford,fiesta,cv,car
3.5,0.6772547183676068,ford,fiesta,cv,car
4,0.6596629038909542,ford,fiesta,cv,car
4.5,0.6425280399946193,ford,fiesta,cv,car
5,0.6258382573041762,ford,fiesta,cv,car
1,0.6782710597558724,ford,focus,cv,car
1.5,0.6594412172184033,ford,focus,cv,car
2,0.6411341199239844,ford,focus,cv,car
2.5,0.6233352556647418,ford,focus,cv,car
3,0.6060305151138996,ford,focus,cv,car
3.5,0.5892061806411842,ford,focus,cv,car
4,0.5728489154387292,ford,focus,cv,car
4.5,0.5569457529488633,ford,focus,cv,car
5,0.54148408658539815,ford,focus,cv,car
1,0.8742585374406646,honda,civic,cv,car
1.5,0.8545370103271027,honda,civic,cv,car
2,0.8352603614904284,honda,civic,cv,car
2.5,0.8164185553649319,honda,civic,cv,car
3,0.7980017827672296,honda,civic,cv,car
3.5,0.7800004557895301,honda,civic,cv,car
4,0.7624052028080996,honda,civic,cv,car
4.5,0.7452068636043248,honda,civic,cv,car
5,0.7283964845958354,honda,civic,cv,car
1,0.8777453347005002,honda,accord,cv,car
1.5,0.8491622955769668,honda,accord,cv,car
2,0.8215100390998785,honda,accord,cv,car
2.5,0.7947582551146302,honda,accord,cv,car
3,0.7688776204913269,honda,accord,cv,car
3.5,0.7438397669831546,honda,accord,cv,car
4,0.719617250131414,honda,accord,cv,car
4.5,0.6961835191831383,honda,accord,cv,car
5,0.6735128879883161,honda,accord,cv,car
1,0.7660722827272097,hyundai,accent,cv,car
1.5,0.751772752094869,hyundai,accent,cv,car
2,0.7377401369754839,hyundai,accent,cv,car
2.5,0.7239694551152388,hyundai,accent,cv,car
3,0.7104558172592327,hyundai,accent,cv,car
3.5,0.6971944254155591,hyundai,accent,cv,car
4,0.6841805711517872,hyundai,accent,cv,car
4.5,0.6714096339232422,hyundai,accent,cv,car
5,0.6588770794324894,hyundai,accent,cv,car
1,0.7835507585218341,hyundai,elantra,cv,car
1.5,0.7665092798689732,hyundai,elantra,cv,car
2,0.7498384370575271,hyundai,elantra,cv,car
2.5,0.7335301691128737,hyundai,elantra,cv,car
3,0.71757659037887,hyundai,elantra,cv,car
3.5,0.7019699867048421,hyundai,elantra,cv,car
4,0.6867028117155063,hyundai,elantra,cv,car
4.5,0.6717676831620149,hyundai,elantra,cv,car
5,0.6571573793523628,hyundai,elantra,cv,car
1,0.7612330569866024,hyundai,sonata,cv,car
1.5,0.7352850048047602,hyundai,sonata,cv,car
2,0.7102214405019611,hyundai,sonata,cv,car
2.5,0.6860122146549387,hyundai,sonata,cv,car
3,0.6626282055398948,hyundai,sonata,cv,car
3.5,0.6400412841014419,hyundai,sonata,cv,car
4,0.6182242801156445,hyundai,sonata,cv,car
4.5,0.5971509495064552,hyundai,sonata,cv,car
5,0.5767959427762327,hyundai,sonata,cv,car
1,0.7338959213328086,infiniti,q50,cv,car
1.5,0.709299809567843,infiniti,q50,cv,car
2,0.685528022746469,infiniti,q50,cv,car
2.5,0.6625529340787645,infiniti,q50,cv,car
3,0.6403478426712362,infiniti,q50,cv,car
3.5,0.6188869424959185,infiniti,q50,cv,car
4,0.5981452923994541,infiniti,q50,cv,car
4.5,0.5780987871173062,infiniti,q50,cv,car
5,0.5587241292594105,infiniti,q50,cv,car
1,0.8234346778155754,kia,forte,cv,car
1.5,0.801285295205016,kia,forte,cv,car
2,0.7797317038129298,kia,forte,cv,car
2.5,0.7587578775864806,kia,forte,cv,car
3,0.7383482215539919,kia,forte,cv,car
3.5,0.7184875602293928,kia,forte,cv,car
4,0.6991611263285697,kia,forte,cv,car
4.5,0.6803545497892348,kia,forte,cv,car
5,0.6620538470861458,kia,forte,cv,car
1,0.7021518362486099,kia,optima,cv,car
1.5,0.6841524148926983,kia,optima,cv,car
2,0.6666144025261566,kia,optima,cv,car
2.5,0.6495259710878897,kia,optima,cv,car
3,0.6328755957250897,kia,optima,cv,car
3.5,0.6166520470205954,kia,optima,cv,car
4,0.6008443834195004,kia,optima,cv,car
4.5,0.5854419438499038,kia,optima,cv,car
5,0.5704343405328239,kia,optima,cv,car
1,0.8310248078353737,kia,soul,cv,car
1.5,0.81261577643184,kia,soul,cv,car
2,0.7946145456547388,kia,soul,cv,car
2.5,0.7770120818212396,kia,soul,cv,car
3,0.7597995513645003,kia,soul,cv,car
3.5,0.742968316400657,kia,soul,cv,car
4,0.7265099303940147,kia,soul,cv,car
4.5,0.7104161339182637,kia,soul,cv,car
5,0.6946788505115943,kia,soul,cv,car
1,0.9679475182847753,lexus,es,cv,car
1.5,0.9265031985743244,lexus,es,cv,car
2,0.8868333879191843,lexus,es,cv,car
2.5,0.8488621076952788,lexus,es,cv,car
3,0.8125166324325797,lexus,es,cv,car
3.5,0.7777273505257813,lexus,es,cv,car
4,0.7444276309088863,lexus,es,cv,car
4.5,0.7125536954383429,lexus,es,cv,car
5,0.6820444967403184,lexus,es,cv,car
1,0.8954816546365559,lexus,is,cv,car
1.5,0.8630192486873803,lexus,is,cv,car
2,0.8317336483093213,lexus,is,cv,car
2.5,0.8015821927287328,lexus,is,cv,car
3,0.7725237676819889,lexus,is,cv,car
3.5,0.7445187493524312,lexus,is,cv,car
4,0.7175289503396748,lexus,is,cv,car
4.5,0.6915175675876003,lexus,is,cv,car
5,0.6664491322000254,lexus,is,cv,car
1,0.7934597397393238,mazda,mazda6,cv,car
1.5,0.7751904273907877,mazda,mazda6,cv,car
2,0.7573417636989787,mazda,mazda6,cv,car
2.5,0.7399040632806141,mazda,mazda6,cv,car
3,0.7228678637571632,mazda,mazda6,cv,car
3.5,0.7062239206201901,mazda,mazda6,cv,car
4,0.6899632022149226,mazda,mazda6,cv,car
4.5,0.6740768848393217,mazda,mazda6,cv,car
5,0.6585563479559965,mazda,mazda6,cv,car
1,0.8254274535823617,mazda,mazda3,cv,car
1.5,0.8016322544833512,mazda,mazda3,cv,car
2,0.7785230169400222,mazda,mazda3,cv,car
2.5,0.7560799662384118,mazda,mazda3,cv,car
3,0.7342838977246561,mazda,mazda3,cv,car
3.5,0.7131161603714518,mazda,mazda3,cv,car
4,0.6925586408182602,mazda,mazda3,cv,car
4.5,0.6725937478715946,mazda,mazda3,cv,car
5,0.6532043974521308,mazda,mazda3,cv,car
1,0.6780603487220211,mercedes-benz,c-class,cv,car
1.5,0.6496442146815511,mercedes-benz,c-class,cv,car
2,0.6224189431879441,mercedes-benz,c-class,cv,car
2.5,0.59633462760705,mercedes-benz,c-class,cv,car
3,0.5713434527905401,mercedes-benz,c-class,cv,car
3.5,0.5473996074259783,mercedes-benz,c-class,cv,car
4,0.5244592000601227,mercedes-benz,c-class,cv,car
4.5,0.5024801786415205,mercedes-benz,c-class,cv,car
5,0.4814222534349097,mercedes-benz,c-class,cv,car
1,0.7005454710578982,nissan,altima sedan,cv,car
1.5,0.665264140584431,nissan,altima sedan,cv,car
2,0.6317596716158967,nissan,altima sedan,cv,car
2.5,0.5999425766878111,nissan,altima sedan,cv,car
3,0.5697278751620671,nissan,altima sedan,cv,car
3.5,0.5410348662511896,nissan,altima sedan,cv,car
4,0.5137869134736905,nissan,altima sedan,cv,car
4.5,0.48791123996482577,nissan,altima sedan,cv,car
5,0.4633387340960447,nissan,altima sedan,cv,car
1,0.7305101892451337,nissan,altima,cv,car
1.5,0.7060718057908644,nissan,altima,cv,car
2,0.6824509805235316,nissan,altima,cv,car
2.5,0.6596203629684088,nissan,altima,cv,car
3,0.6375535176296411,nissan,altima,cv,car
3.5,0.6162248933806738,nissan,altima,cv,car
4,0.5956097938786877,nissan,altima,cv,car
4.5,0.5756843489687862,nissan,altima,cv,car
5,0.5564254870448225,nissan,altima,cv,car
1,0.7321669530342639,nissan,maxima,cv,car
1.5,0.7066238382802932,nissan,maxima,cv,car
2,0.6819718463892577,nissan,maxima,cv,car
2.5,0.6581798887502149,nissan,maxima,cv,car
3,0.6352179613408585,nissan,maxima,cv,car
3.5,0.6130571068894645,nissan,maxima,cv,car
4,0.5916693783568956,nissan,maxima,cv,car
4.5,0.571027803692608,nissan,maxima,cv,car
5,0.5511063518202157,nissan,maxima,cv,car
1,0.7508352229832232,nissan,sentra,cv,car
1.5,0.7365734955928527,nissan,sentra,cv,car
2,0.7225826623506669,nissan,sentra,cv,car
2.5,0.708857577762189,nissan,sentra,cv,car
3,0.6953931940689527,nissan,sentra,cv,car
3.5,0.6821845593920576,nissan,sentra,cv,car
4,0.6692268159109862,nissan,sentra,cv,car
4.5,0.6565151980770138,nissan,sentra,cv,car
5,0.6440450308605528,nissan,sentra,cv,car
1,0.7129918086341493,nissan,versa note,cv,car
1.5,0.6986237255631245,nissan,versa note,cv,car
2,0.6845451855256041,nissan,versa note,cv,car
2.5,0.6707503537022993,nissan,versa note,cv,car
3,0.6572335128561527,nissan,versa note,cv,car
3.5,0.6439890609628433,nissan,versa note,cv,car
4,0.631011508889039,nissan,versa note,cv,car
4.5,0.6182954781174392,nissan,versa note,cv,car
5,0.6058356985176586,nissan,versa note,cv,car
1,0.8641945394393578,nissan,versa sedan,cv,car
1.5,0.8405493890785088,nissan,versa sedan,cv,car
2,0.8175511915854133,nissan,versa sedan,cv,car
2.5,0.7951822457398757,nissan,versa sedan,cv,car
3,0.7734253346432206,nissan,versa sedan,cv,car
3.5,0.7522637124668147,nissan,versa sedan,cv,car
4,0.7316810915631605,nissan,versa sedan,cv,car
4.5,0.7116616299296437,nissan,versa sedan,cv,car
5,0.6921899190152818,nissan,versa sedan,cv,car
1,0.799744950934581,toyota,camry,cv,car
1.5,0.7803821123797383,toyota,camry,cv,car
2,0.7614880726794089,toyota,camry,cv,car
2.5,0.7430514816193475,toyota,camry,cv,car
3,0.7250612637883768,toyota,camry,cv,car
3.5,0.7075066119250567,toyota,camry,cv,car
4,0.6903769804254397,toyota,camry,cv,car
4.5,0.6736620790080114,toyota,camry,cv,car
5,0.6573518665320106,toyota,camry,cv,car
1,0.8097652645915415,toyota,corolla,cv,car
1.5,0.798711548609497,toyota,corolla,cv,car
2,0.7878087215854684,toyota,corolla,cv,car
2.5,0.777054723806895,toyota,corolla,cv,car
3,0.7664475236773611,toyota,corolla,cv,car
3.5,0.755985117332796,toyota,corolla,cv,car
4,0.7456655282629137,toyota,corolla,cv,car
4.5,0.7354868069378183,toyota,corolla,cv,car
5,0.7254470304397089,toyota,corolla,cv,car
1,0.8012597242307647,acura,tlx,cv,car
1.5,0.7686969785382717,acura,tlx,cv,car
2,0.7374575645632838,acura,tlx,cv,car
2.5,0.70748770284718,acura,tlx,cv,car
3,0.6787357994983678,acura,tlx,cv,car
3.5,0.6511523573720656,acura,tlx,cv,car
4,0.6246898908596874,acura,tlx,cv,car
4.5,0.599302844141142,acura,tlx,cv,car
5,0.5749475127593098,acura,tlx,cv,car
1,0.8009534467445769,audi,a4,cv,car
1.5,0.7619237889021969,audi,a4,cv,car
2,0.7247960071270024,audi,a4,cv,car
2.5,0.6894774249064414,audi,a4,cv,car
3,0.6558798817614335,audi,a4,cv,car
3.5,0.6239195131845906,audi,a4,cv,car
4,0.593516541301826,audi,a4,cv,car
4.5,0.5645950757348137,audi,a4,cv,car
5,0.5370829241672213,audi,a4,cv,car
1,0.6504807433700751,dodge,dart,cv,car
1.5,0.6372458108851745,dodge,dart,cv,car
2,0.6242801614492576,dodge,dart,cv,car
2.5,0.6115783161253859,dodge,dart,cv,car
3,0.5991349074531884,dodge,dart,cv,car
3.5,0.5869446771807162,dodge,dart,cv,car
4,0.5750024740424459,dodge,dart,cv,car
4.5,0.5633032515824922,dodge,dart,cv,car
5,0.5518420660221107,dodge,dart,cv,car
1,0.7769784559708005,ford,mustang,cv,car
1.5,0.7629647844273372,ford,mustang,cv,car
2,0.74920386505302206,ford,mustang,cv,car
2.5,0.7356911391810697,ford,mustang,cv,car
3,0.7224221303653253,ford,mustang,cv,car
3.5,0.7093924428973254,ford,mustang,cv,car
4,0.6965977603501019,ford,mustang,cv,car
4.5,0.6840338441482537,ford,mustang,cv,car
5,0.671696532163806,ford,mustang,cv,car
1,0.8918327862240655,honda,civic hatchback,cv,car
1.5,0.8855891439262218,honda,civic hatchback,cv,car
2,0.8793892128147637,honda,civic hatchback,cv,car
2.5,0.8732326868715491,honda,civic hatchback,cv,car
