year,state,powertrain,count
2016,Michigan,Compressed Natural Gas (CNG),19800
2016,Michigan,Diesel,190800
2016,Michigan,Flex Fuel (E85),1186000
2016,Michigan,Fuel Cell,0
2016,Michigan,Gasoline,6902900
2016,Michigan,Hybrid Electric (HEV),64900
2016,Michigan,Methanol,0
2016,Michigan,Plug-In Hybrid Electric (PHEV),11600
2016,Michigan,Propane,0
2016,Michigan,Unknown,81100
2016,Minnesota,Battery Electric (BEV),1600
2016,Minnesota,Biodiesel,0
2016,Minnesota,Compressed Natural Gas (CNG),13600
2016,Minnesota,Diesel,135100
2016,Minnesota,Flex Fuel (E85),549600
2016,Minnesota,Fuel Cell,0
2016,Minnesota,Gasoline,3981400
2016,Minnesota,Hybrid Electric (HEV),58900
2016,Minnesota,Methanol,0
2016,Minnesota,Plug-In Hybrid Electric (PHEV),2400
2016,Minnesota,Propane,0
2016,Minnesota,Unknown,51900
2016,Mississippi,Battery Electric (BEV),100
2016,Mississippi,Biodiesel,0
2016,Mississippi,Compressed Natural Gas (CNG),9500
2016,Mississippi,Diesel,78300
2016,Mississippi,Flex Fuel (E85),279600
2016,Mississippi,Fuel Cell,0
2016,Mississippi,Gasoline,2106700
2016,Mississippi,Hybrid Electric (HEV),11800
2016,Mississippi,Methanol,0
2016,Mississippi,Plug-In Hybrid Electric (PHEV),200
2016,Mississippi,Propane,0
2016,Mississippi,Unknown,16300
2016,Missouri,Battery Electric (BEV),1400
2016,Missouri,Biodiesel,0
2016,Missouri,Compressed Natural Gas (CNG),21800
2016,Missouri,Diesel,194200
2016,Missouri,Flex Fuel (E85),589600
2016,Missouri,Fuel Cell,0
2016,Missouri,Gasoline,4597300
2016,Missouri,Hybrid Electric (HEV),63800
2016,Missouri,Methanol,0
2016,Missouri,Plug-In Hybrid Electric (PHEV),2100
2016,Missouri,Propane,0
2016,Missouri,Unknown,71300
2016,Montana,Battery Electric (BEV),200
2016,Montana,Biodiesel,0
2016,Montana,Compressed Natural Gas (CNG),5400
2016,Montana,Diesel,87600
2016,Montana,Flex Fuel (E85),111700
2016,Montana,Fuel Cell,0
2016,Montana,Gasoline,750600
2016,Montana,Hybrid Electric (HEV),9800
2016,Montana,Methanol,0
2016,Montana,Plug-In Hybrid Electric (PHEV),200
2016,Montana,Propane,0
2016,Montana,Unknown,22600
2016,Nebraska,Battery Electric (BEV),300
2016,Nebraska,Biodiesel,0
2016,Nebraska,Compressed Natural Gas (CNG),9900
2016,Nebraska,Diesel,79800
2016,Nebraska,Flex Fuel (E85),208300
2016,Nebraska,Fuel Cell,0
2016,Nebraska,Gasoline,1468900
2016,Nebraska,Hybrid Electric (HEV),14500
2016,Nebraska,Methanol,0
2016,Nebraska,Plug-In Hybrid Electric (PHEV),600
2016,Nebraska,Propane,0
2016,Nebraska,Unknown,38300
2016,Nevada,Battery Electric (BEV),2000
2016,Nevada,Biodiesel,0
2016,Nevada,Compressed Natural Gas (CNG),7100
2016,Nevada,Diesel,83000
2016,Nevada,Flex Fuel (E85),138800
2016,Nevada,Fuel Cell,0
