age_bin,powertrain,vehicle_type,quantile,rr
94.5,All,All,25,0.4021450508587748
94.5,All,All,50,0.5184156969759743
94.5,All,All,75,0.6548615598988926
97.5,All,All,25,0.39808293154607766
97.5,All,All,50,0.5113088801137867
97.5,All,All,75,0.6454035687713768
100.5,All,All,25,0.3833423777012609
100.5,All,All,50,0.49383470306660554
100.5,All,All,75,0.6248904274856977
103.5,All,All,25,0.36161990189995585
103.5,All,All,50,0.4692630398005658
103.5,All,All,75,0.5995286324890996
106.5,All,All,25,0.36462572506839563
106.5,All,All,50,0.476574765891383
106.5,All,All,75,0.6080822062654289
109.5,All,All,25,0.35928397246265664
109.5,All,All,50,0.46886093824129815
109.5,All,All,75,0.5983046339072083
112.5,All,All,25,0.34602159108682
112.5,All,All,50,0.4531088818467861
112.5,All,All,75,0.5788807694583509
115.5,All,All,25,0.3271945822453918
115.5,All,All,50,0.42881299786252297
115.5,All,All,75,0.5534774100921455
118.5,All,All,25,0.32995048774096586
118.5,All,All,50,0.43418756080952803
118.5,All,All,75,0.5620920201004797
121.5,All,All,25,0.3247993052793108
121.5,All,All,50,0.42741953765364926
121.5,All,All,75,0.5528786281280913
124.5,All,All,25,0.31386336109608054
124.5,All,All,50,0.4135681797030574
124.5,All,All,75,0.5374248752098241
127.5,All,All,25,0.29407683385513556
127.5,All,All,50,0.389910431276372
127.5,All,All,75,0.512106937508303
130.5,All,All,25,0.2975153625751145
130.5,All,All,50,0.3950613960175984
130.5,All,All,75,0.51888390772666
133.5,All,All,25,0.29197854477257246
133.5,All,All,50,0.38860316389546684
133.5,All,All,75,0.5128079236663102
136.5,All,All,25,0.2812229725392012
136.5,All,All,50,0.37705649373675704
136.5,All,All,75,0.4982416441720861
139.5,All,All,25,0.2653210699318015
139.5,All,All,50,0.3565139200652018
139.5,All,All,75,0.4744923094363808
142.5,All,All,25,0.2692224900821093
142.5,All,All,50,0.36187425950957014
142.5,All,All,75,0.48236803862213157
145.5,All,All,25,0.26341817586841304
145.5,All,All,50,0.35487592358108855
145.5,All,All,75,0.474971289562368
148.5,All,All,25,0.2529288772489556
148.5,All,All,50,0.3423471407855818
148.5,All,All,75,0.46022666331573286
151.5,All,All,25,0.23919026260223297
151.5,All,All,50,0.32478628523177056
151.5,All,All,75,0.44091738306779876
154.5,All,All,25,0.24332782110672765
154.5,All,All,50,0.3302996322523871
154.5,All,All,75,0.44994630965725313
157.5,All,All,25,0.23831731065180606
157.5,All,All,50,0.3253782370782674
157.5,All,All,75,0.4419922218836632
160.5,All,All,25,0.22924226882686274
160.5,All,All,50,0.3147672168825776
160.5,All,All,75,0.4273734280034756
163.5,All,All,25,0.21761846665256945
163.5,All,All,50,0.29779181785503633
163.5,All,All,75,0.40657993541201143
166.5,All,All,25,0.22376854445496253
166.5,All,All,50,0.30683122984207123
166.5,All,All,75,0.41838290705911285
169.5,All,All,25,0.22078870623641314
169.5,All,All,50,0.3034314220286096
169.5,All,All,75,0.4134508630953812
172.5,All,All,25,0.21438916909154052
172.5,All,All,50,0.2968874324931844
172.5,All,All,75,0.4056668331670176
175.5,All,All,25,0.2030998724137844
175.5,All,All,50,0.28257306905405577
175.5,All,All,75,0.38784727487863596
178.5,All,All,25,0.2112912446243738
178.5,All,All,50,0.29381734635402085
