listing_year,inventory_type,group_var,group_level,category_var,category_level,p
2022,Used,powertrain,Flex Fuel (E85),vehicle_type,Minivan,0.4670911292527636
2023,Used,powertrain,Flex Fuel (E85),vehicle_type,Minivan,0.4402639312048171
2020,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Car,0.5266632309995337
2019,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Car,0.5483939010426083
2021,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Car,0.5153160777675906
2018,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Car,0.5291087068521381
2022,Used,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,Car,0.15665403695168156
2024,Used,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,Car,0.15666921147344312
2023,Used,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,Car,0.17324992338062703
2022,New,powertrain,Battery Electric (BEV),vehicle_type,CUV,0.3920679057515001
2023,New,powertrain,Battery Electric (BEV),vehicle_type,CUV,0.5605368495408524
2024,New,powertrain,Battery Electric (BEV),vehicle_type,CUV,0.640093896713615
2018,New,powertrain,Battery Electric (BEV),vehicle_type,Minivan,0.0010964912280701754
2023,New,powertrain,Battery Electric (BEV),vehicle_type,SUV,0.046574052272192135
2024,New,powertrain,Battery Electric (BEV),vehicle_type,SUV,0.08967136150234742
2023,New,powertrain,Battery Electric (BEV),vehicle_type,Pickup,0.17626559924652696
2024,New,powertrain,Battery Electric (BEV),vehicle_type,Pickup,0.21591549295774648
2022,New,powertrain,Battery Electric (BEV),vehicle_type,Pickup,0.11068832625981755
2018,New,powertrain,Flex Fuel (E85),vehicle_type,SUV,0.22099780701754385
2019,New,powertrain,Flex Fuel (E85),vehicle_type,SUV,0.22562047001976718
2020,New,powertrain,Flex Fuel (E85),vehicle_type,SUV,0.1111888488240676
2021,New,powertrain,Flex Fuel (E85),vehicle_type,SUV,0.0016020506247997437
2021,Used,powertrain,Battery Electric (BEV),vehicle_type,CUV,0.08712415073935632
2020,Used,powertrain,Battery Electric (BEV),vehicle_type,CUV,0.03963287442636629
2019,Used,powertrain,Battery Electric (BEV),vehicle_type,CUV,0.025311878502983186
2018,Used,powertrain,Battery Electric (BEV),vehicle_type,CUV,0.01048580173955208
2018,Used,powertrain,Flex Fuel (E85),vehicle_type,Car,0.7280661878352578
2019,Used,powertrain,Flex Fuel (E85),vehicle_type,Car,0.7421804375338998
2020,Used,powertrain,Flex Fuel (E85),vehicle_type,Car,0.697342266067879
2021,Used,powertrain,Flex Fuel (E85),vehicle_type,Car,0.6624115475938595
2023,Used,powertrain,Flex Fuel (E85),vehicle_type,Car,0.6131352647424688
2022,Used,powertrain,Flex Fuel (E85),vehicle_type,Car,0.6358345377133706
2024,Used,powertrain,Flex Fuel (E85),vehicle_type,Car,0.5667284691169521
2021,Used,powertrain,Flex Fuel (E85),vehicle_type,CUV,0.5853962432705645
2019,Used,powertrain,Flex Fuel (E85),vehicle_type,CUV,0.6565419152654733
