age_bin,powertrain,vehicle_type,quantile,miles
49.5,all,car,25,23930.43405715035
49.5,all,car,50,33648.73965517786
49.5,all,car,75,47285.89536283933
52.5,all,car,25,25579.933331565084
52.5,all,car,50,35970.279146267036
52.5,all,car,75,51962.9576554184
55.5,all,car,25,28439.60286092389
55.5,all,car,50,40554.1984180977
55.5,all,car,75,58222.79007322512
58.5,all,car,25,31601.96378110424
58.5,all,car,50,45723.479172801344
58.5,all,car,75,64059.51188131802
61.5,all,car,25,34910.65780654929
61.5,all,car,50,50338.25709058283
61.5,all,car,75,69282.96543801198
64.5,all,car,25,37894.93713162341
64.5,all,car,50,53933.26781228345
64.5,all,car,75,73329.39518188435
67.5,all,car,25,41218.332747748544
67.5,all,car,50,58041.87797475504
67.5,all,car,75,77799.3326217967
70.5,all,car,25,43394.62341913417
70.5,all,car,50,60914.6837555543
70.5,all,car,75,80833.70515674245
73.5,all,car,25,45389.86859582021
73.5,all,car,50,63380.630592722155
73.5,all,car,75,83767.25315302185
76.5,all,car,25,47215.64697532515
76.5,all,car,50,65758.16061938825
76.5,all,car,75,86554.30370049992
79.5,all,car,25,50535.10939376884
79.5,all,car,50,69495.66783014301
79.5,all,car,75,90456.86339835823
82.5,all,car,25,52257.64385765896
82.5,all,car,50,71725.20578732161
82.5,all,car,75,92822.82601113139
85.5,all,car,25,53693.91935675463
85.5,all,car,50,73577.20564893157
85.5,all,car,75,94936.85041698864
88.5,all,car,25,55605.61365189386
88.5,all,car,50,75903.18881292047
88.5,all,car,75,97551.26720732136
91.5,all,car,25,59080.92624777947
91.5,all,car,50,79544.20855872692
91.5,all,car,75,101113.60202771502
94.5,all,car,25,60281.78429604415
94.5,all,car,50,81289.62899679501
94.5,all,car,75,103315.4407908249
97.5,all,car,25,61728.5394011709
97.5,all,car,50,83070.69979094552
97.5,all,car,75,105345.58062999867
100.5,all,car,25,63464.389103525384
100.5,all,car,50,84964.82391129756
100.5,all,car,75,107646.59558312362
103.5,all,car,25,66553.29039745136
103.5,all,car,50,88315.80067428836
103.5,all,car,75,111459.55740255903
106.5,all,car,25,67532.77838191504
106.5,all,car,50,89842.19913807121
106.5,all,car,75,113365.70743636372
109.5,all,car,25,68920.66138320499
109.5,all,car,50,91281.67622203297
109.5,all,car,75,114999.75944801782
112.5,all,car,25,70189.28302618652
112.5,all,car,50,92840.80326598356
112.5,all,car,75,117007.33897712312
115.5,all,car,25,73150.99055565668
115.5,all,car,50,96259.42316717032
115.5,all,car,75,120945.71453710542
118.5,all,car,25,74211.84612562475
118.5,all,car,50,97469.57127514307
118.5,all,car,75,122539.54054195326
121.5,all,car,25,75059.36941153687
121.5,all,car,50,98520.71996894683
121.5,all,car,75,123954.94644620037
124.5,all,car,25,76012.4708263311
124.5,all,car,50,100061.09648548982
124.5,all,car,75,125739.79902164768
127.5,all,car,25,79251.15685036419
127.5,all,car,50,103554.59597062189
127.5,all,car,75,130012.09574836178
130.5,all,car,25,79949.03781766297
130.5,all,car,50,104604.28877261265
130.5,all,car,75,131046.08940826861
133.5,all,car,25,80759.4053769049
133.5,all,car,50,105703.35949767909
133.5,all,car,75,132622.63819254795
136.5,all,car,25,81393.86291983297
136.5,all,car,50,106833.61387033571
136.5,all,car,75,134062.7815068916
139.5,all,car,25,84658.22666179009
139.5,all,car,50,110529.58663534104
139.5,all,car,75,138336.8817547211
142.5,all,car,25,85006.33925971983
142.5,all,car,50,111158.48657061858
142.5,all,car,75,139026.71753421117
145.5,all,car,25,85279.58420537258
145.5,all,car,50,111946.59894835552
145.5,all,car,75,140269.1341438801
148.5,all,car,25,86210.91872250038
148.5,all,car,50,113410.42231679577
148.5,all,car,75,141529.07418072005
151.5,all,car,25,89595.95249334195
151.5,all,car,50,117218.6810844829
151.5,all,car,75,146120.05610376067
154.5,all,car,25,89331.39148120006
154.5,all,car,50,117412.22282595593
154.5,all,car,75,146444.45954052516
157.5,all,car,25,89573.86723934166
157.5,all,car,50,117976.53017637675
157.5,all,car,75,147792.65870034514
160.5,all,car,25,90511.19966686144
160.5,all,car,50,118976.81166239396
160.5,all,car,75,149023.82320468308
163.5,all,car,25,93942.04955293148
163.5,all,car,50,123074.97540712738
163.5,all,car,75,153230.2820474614
166.5,all,car,25,93139.04078727891
166.5,all,car,50,122777.60416237803
166.5,all,car,75,152901.8843129956
169.5,all,car,25,92714.92257350993
169.5,all,car,50,122997.4213365127
169.5,all,car,75,153566.2285578011
172.5,all,car,25,93306.85099106819
172.5,all,car,50,123639.85912140844
172.5,all,car,75,154823.88221915741
175.5,all,car,25,96807.80605624412
175.5,all,car,50,127625.94902462556
175.5,all,car,75,158993.1648466203
178.5,all,car,25,95247.91325875281
178.5,all,car,50,127104.2265267282
178.5,all,car,75,158777.13684346474
181.5,all,car,25,96197.39256198348
181.5,all,car,50,129722.95358904662
181.5,all,car,75,163372.8123076923
1.5,all,cuv,25,5.533333333333332
1.5,all,cuv,50,110.77258425984925
1.5,all,cuv,75,1588.6493183860982
4.5,all,cuv,25,13.190667651125096
4.5,all,cuv,50,859.7640235807794
4.5,all,cuv,75,3214.242568631407
7.5,all,cuv,25,394.3508256251456
7.5,all,cuv,50,2552.3057763586726
7.5,all,cuv,75,4804.704562386789
10.5,all,cuv,25,1594.96557102391
10.5,all,cuv,50,4055.648542427163
10.5,all,cuv,75,7311.456696040729
13.5,all,cuv,25,3331.531301123329
13.5,all,cuv,50,5865.618564358293
13.5,all,cuv,75,10476.277923970507
16.5,all,cuv,25,4452.951411672449
16.5,all,cuv,50,8241.259795030279
16.5,all,cuv,75,15247.823486887872
19.5,all,cuv,25,6082.376194632145
19.5,all,cuv,50,11822.168315675322
19.5,all,cuv,75,20370.811846692635
22.5,all,cuv,25,7791.318876021304
22.5,all,cuv,50,14279.740643487545
22.5,all,cuv,75,23288.325169518364
25.5,all,cuv,25,10004.73991183611
25.5,all,cuv,50,17302.468841511225
25.5,all,cuv,75,28254.279309971716
28.5,all,cuv,25,12892.377435991479
28.5,all,cuv,50,21530.692072017606
28.5,all,cuv,75,33867.06353436236
31.5,all,cuv,25,15377.487045296983
31.5,all,cuv,50,24302.757562994873
31.5,all,cuv,75,36768.27613313456
34.5,all,cuv,25,17299.64656919103
34.5,all,cuv,50,26119.003661587223
34.5,all,cuv,75,38186.722766324136
37.5,all,cuv,25,19407.611960106507
37.5,all,cuv,50,28495.403661709293
37.5,all,cuv,75,40562.362028500385
40.5,all,cuv,25,21193.96030997084
40.5,all,cuv,50,30056.79348078461
40.5,all,cuv,75,41263.990583105835
43.5,all,cuv,25,22827.28272564871
43.5,all,cuv,50,31437.644748209157
43.5,all,cuv,75,42472.05228227985
46.5,all,cuv,25,23467.90075394889
46.5,all,cuv,50,31978.932249880578
46.5,all,cuv,75,42844.62341220113
49.5,all,cuv,25,24551.19218627646
49.5,all,cuv,50,33395.84923442308
49.5,all,cuv,75,45072.70289392388
52.5,all,cuv,25,26281.89634547604
52.5,all,cuv,50,35726.963119267304
52.5,all,cuv,75,49301.008329059274
55.5,all,cuv,25,29117.74008522365
55.5,all,cuv,50,40015.57798840054
55.5,all,cuv,75,55742.67092632304
58.5,all,cuv,25,32678.510320996207
58.5,all,cuv,50,45794.19017964708
58.5,all,cuv,75,62365.122047064666
61.5,all,cuv,25,36614.7465194251
61.5,all,cuv,50,51005.98785164847
61.5,all,cuv,75,68106.36928576413
64.5,all,cuv,25,39992.668117828456
64.5,all,cuv,50,54787.886296949655
64.5,all,cuv,75,72574.77691973222
67.5,all,cuv,25,43748.09598111082
67.5,all,cuv,50,59304.05547634198
67.5,all,cuv,75,77436.92699891586
70.5,all,cuv,25,46169.840838964345
70.5,all,cuv,50,62064.377923433254
70.5,all,cuv,75,80673.9798664734
73.5,all,cuv,25,48791.05979140585
73.5,all,cuv,50,65187.05478934894
73.5,all,cuv,75,84350.08661297575
76.5,all,cuv,25,50868.47190611801
76.5,all,cuv,50,68151.28519043674
76.5,all,cuv,75,87612.90141527711
79.5,all,cuv,25,54709.779815620444
79.5,all,cuv,50,72465.31508168683
79.5,all,cuv,75,91830.18004214256
82.5,all,cuv,25,56572.41388925334
82.5,all,cuv,50,74560.41729376775
82.5,all,cuv,75,94071.31426920641
85.5,all,cuv,25,58857.27331010189
85.5,all,cuv,50,77448.50479077501
85.5,all,cuv,75,96895.74525038518
88.5,all,cuv,25,61215.850051736496
88.5,all,cuv,50,80057.30333134581
88.5,all,cuv,75,99515.96447976198
91.5,all,cuv,25,65337.005056386304
91.5,all,cuv,50,84215.76975451919
91.5,all,cuv,75,103893.0545392411
94.5,all,cuv,25,66934.8047659493
94.5,all,cuv,50,86057.91832036558
94.5,all,cuv,75,106228.87137076921
97.5,all,cuv,25,68821.15426495271
97.5,all,cuv,50,88366.6334310122
97.5,all,cuv,75,108899.31388024238
100.5,all,cuv,25,70601.70521394926
100.5,all,cuv,50,90254.5467201877
100.5,all,cuv,75,111000.8377832124
103.5,all,cuv,25,74102.628125736
103.5,all,cuv,50,94152.08503535339
103.5,all,cuv,75,115695.27732803348
106.5,all,cuv,25,75398.25551331656
106.5,all,cuv,50,95575.38597577413
106.5,all,cuv,75,117732.84978276056
109.5,all,cuv,25,76956.11886621424
109.5,all,cuv,50,97252.63038817915
109.5,all,cuv,75,119669.57033878144
112.5,all,cuv,25,78266.05302663906
112.5,all,cuv,50,98731.15049776589
112.5,all,cuv,75,121626.28769143778
115.5,all,cuv,25,81939.4674380256
115.5,all,cuv,50,102841.07704102933
115.5,all,cuv,75,126253.38104464083
118.5,all,cuv,25,82833.87049511823
118.5,all,cuv,50,104159.4142224101
118.5,all,cuv,75,127992.04761982162
121.5,all,cuv,25,84256.6307229034
121.5,all,cuv,50,105820.91522532477
121.5,all,cuv,75,129755.00576786589
124.5,all,cuv,25,85287.0101166493
124.5,all,cuv,50,107070.6156428845
124.5,all,cuv,75,131365.40652869176
127.5,all,cuv,25,89165.98584100534
127.5,all,cuv,50,111590.9019445542
127.5,all,cuv,75,136291.09278354715
130.5,all,cuv,25,89896.57443525622
130.5,all,cuv,50,112727.41469985401
130.5,all,cuv,75,137364.37397685702
133.5,all,cuv,25,90718.1897480998
133.5,all,cuv,50,113952.74259858763
133.5,all,cuv,75,139007.8823914309
136.5,all,cuv,25,91851.68446536534
136.5,all,cuv,50,115349.32475403229
136.5,all,cuv,75,140700.48519192328
139.5,all,cuv,25,95699.57762280629
139.5,all,cuv,50,119558.66275517465
139.5,all,cuv,75,145316.42792460293
142.5,all,cuv,25,95604.71834893631
142.5,all,cuv,50,120338.61248938198
142.5,all,cuv,75,146261.10517682365
145.5,all,cuv,25,96891.44131480562
145.5,all,cuv,50,121515.676313939
145.5,all,cuv,75,147543.6022658743
148.5,all,cuv,25,97394.61115621956
148.5,all,cuv,50,122438.76009441771
148.5,all,cuv,75,148956.91316772782
151.5,all,cuv,25,102090.80472439542
151.5,all,cuv,50,127416.52621283481
151.5,all,cuv,75,153921.67188397667
154.5,all,cuv,25,101630.61684066406
154.5,all,cuv,50,127585.94449640093
154.5,all,cuv,75,154445.36413034349
157.5,all,cuv,25,102304.5881520083
157.5,all,cuv,50,128454.73140566902
157.5,all,cuv,75,155165.421035659
160.5,all,cuv,25,103506.00587512375
160.5,all,cuv,50,129863.89162877797
160.5,all,cuv,75,156878.9846035864
163.5,all,cuv,25,107934.55734205566
163.5,all,cuv,50,134240.8527993906
163.5,all,cuv,75,161297.44365967665
166.5,all,cuv,25,107371.21368427336
166.5,all,cuv,50,134167.8464987521
166.5,all,cuv,75,161693.1362617538
169.5,all,cuv,25,107957.61897817944
169.5,all,cuv,50,135186.40810366743
169.5,all,cuv,75,162784.88577269422
172.5,all,cuv,25,108289.04232710358
172.5,all,cuv,50,135480.89940437034
